merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description,cc_type_id,cc_code_id,stratify_col
Merchant_3727 RAA,Consulting,Uber,EUR,INTEREST_36_A,COMPANY_A-671858,COMPANY_A,2666.38,TXN Merchant_3727 RAA REF-PATDOZLS,7,10,INTEREST_36_A_COMPANY_A-671858
Merchant_4441 OPO,Food,Hotel,USD,TRANSFER_6_A,COMPANY_A-329258,COMPANY_A,3509.09,TXN Merchant_4441 OPO REF-34F26MBK,15,7,TRANSFER_6_A_COMPANY_A-329258
Merchant_3589 BOV,Travel,Uber,GBP,DEPOSIT_44_A,COMPANY_A-334053,COMPANY_A,418.76,TXN Merchant_3589 BOV REF-8ZHJ9WKV,5,8,DEPOSIT_44_A_COMPANY_A-334053
Merchant_4282 NEG,Tech,SaaS,EUR,POS_98_A,COMPANY_A-198246,COMPANY_A,1919.11,TXN Merchant_4282 NEG REF-LLSYK4RC,12,3,POS_98_A_COMPANY_A-198246
Merchant_3825 ITJ,Food,Uber,EUR,POS_98_A,COMPANY_A-133326,COMPANY_A,2794.52,TXN Merchant_3825 ITJ REF-XEDPT912,12,1,POS_98_A_COMPANY_A-133326
Merchant_1083 OTE,Utilities,Hotel,GBP,REFUND_69_A,COMPANY_A-246316,COMPANY_A,1315.19,TXN Merchant_1083 OTE REF-IH3ZGUWD,13,6,REFUND_69_A_COMPANY_A-246316
Merchant_3561 TEH,Travel,Hotel,INR,TRANSFER_81_A,COMPANY_A-207473,COMPANY_A,1817.51,TXN Merchant_3561 TEH REF-U3SUDZO6,16,4,TRANSFER_81_A_COMPANY_A-207473
Merchant_4870 QZI,Logistics,Cafe,EUR,BILL_58_A,COMPANY_A-126225,COMPANY_A,1857.27,TXN Merchant_4870 QZI REF-2X68KRT6,2,0,BILL_58_A_COMPANY_A-126225
Merchant_1292 UIT,Logistics,Store,INR,REFUND_69_A,COMPANY_A-877572,COMPANY_A,3609.62,TXN Merchant_1292 UIT REF-7W494171,13,15,REFUND_69_A_COMPANY_A-877572
Merchant_3329 QMS,Logistics,SaaS,USD,REFUND_69_A,COMPANY_A-877572,COMPANY_A,3728.52,TXN Merchant_3329 QMS REF-HIE66OVA,13,15,REFUND_69_A_COMPANY_A-877572
Merchant_581 PRD,Consulting,Electric,INR,ONLINE_49_A,COMPANY_A-207473,COMPANY_A,4587.97,TXN Merchant_581 PRD REF-2Z7NT3UT,11,4,ONLINE_49_A_COMPANY_A-207473
Merchant_1990 IIZ,Tech,Uber,USD,BILL_98_A,COMPANY_A-246316,COMPANY_A,1354.41,TXN Merchant_1990 IIZ REF-FN67TQRV,4,6,BILL_98_A_COMPANY_A-246316
Merchant_794 QEY,Food,Electric,INR,TRANSFER_6_A,COMPANY_A-329258,COMPANY_A,3635.48,TXN Merchant_794 QEY REF-8JSWOIUU,15,7,TRANSFER_6_A_COMPANY_A-329258
Merchant_443 OGU,Retail,Cafe,GBP,TRANSFER_81_A,COMPANY_A-671858,COMPANY_A,2736.32,TXN Merchant_443 OGU REF-6GZ2L07X,16,10,TRANSFER_81_A_COMPANY_A-671858
Merchant_4002 LRN,Consulting,Uber,EUR,ONLINE_49_A,COMPANY_A-207473,COMPANY_A,4110.09,TXN Merchant_4002 LRN REF-OQC07OCS,11,4,ONLINE_49_A_COMPANY_A-207473
Merchant_2172 WDD,Food,Uber,EUR,INTEREST_4_A,COMPANY_A-872246,COMPANY_A,1374.5,TXN Merchant_2172 WDD REF-EJLX7RQ1,9,14,INTEREST_4_A_COMPANY_A-872246
Merchant_1629 AFI,Consulting,Store,INR,REFUND_69_A,COMPANY_A-198246,COMPANY_A,903.96,TXN Merchant_1629 AFI REF-2QGJNNM2,13,3,REFUND_69_A_COMPANY_A-198246
Merchant_1559 AQU,Logistics,Airline,INR,ONLINE_49_A,COMPANY_A-809570,COMPANY_A,3681.45,TXN Merchant_1559 AQU REF-1YOV3DMD,11,13,ONLINE_49_A_COMPANY_A-809570
Merchant_3059 LJX,Tech,Hotel,EUR,INTEREST_4_A,COMPANY_A-246316,COMPANY_A,993.65,TXN Merchant_3059 LJX REF-SHZF46BD,9,6,INTEREST_4_A_COMPANY_A-246316
Merchant_3981 SBK,Utilities,SaaS,GBP,POS_98_A,COMPANY_A-334053,COMPANY_A,1000.88,TXN Merchant_3981 SBK REF-VYUQ02K7,12,8,POS_98_A_COMPANY_A-334053
Merchant_4552 BUW,Utilities,Cafe,GBP,DEPOSIT_44_A,COMPANY_A-334053,COMPANY_A,4077.94,TXN Merchant_4552 BUW REF-JHXM1USF,5,8,DEPOSIT_44_A_COMPANY_A-334053
Merchant_4363 JAJ,Consulting,SaaS,GBP,BILL_98_A,COMPANY_A-246316,COMPANY_A,1398.92,TXN Merchant_4363 JAJ REF-RAEWNDGN,4,6,BILL_98_A_COMPANY_A-246316
Merchant_4158 TYG,Travel,Uber,EUR,TRANSFER_6_A,COMPANY_A-329258,COMPANY_A,4677.72,TXN Merchant_4158 TYG REF-WU20GA3C,15,7,TRANSFER_6_A_COMPANY_A-329258
Merchant_3285 KYA,Food,Airline,GBP,BILL_58_A,COMPANY_A-126225,COMPANY_A,2662.48,TXN Merchant_3285 KYA REF-N8N23BZJ,2,0,BILL_58_A_COMPANY_A-126225
Merchant_480 YWC,Logistics,Cafe,INR,POS_98_A,COMPANY_A-334053,COMPANY_A,149.61,TXN Merchant_480 YWC REF-5SFXAA6Q,12,8,POS_98_A_COMPANY_A-334053
Merchant_482 ZDT,Utilities,Electric,EUR,ADJUSTMENT_26_A,COMPANY_A-809570,COMPANY_A,4474.08,TXN Merchant_482 ZDT REF-3HDUEH02,0,13,ADJUSTMENT_26_A_COMPANY_A-809570
Merchant_3754 BMJ,Retail,Hotel,USD,FEE_90_A,COMPANY_A-334053,COMPANY_A,1749.41,TXN Merchant_3754 BMJ REF-PMD2DF8H,6,8,FEE_90_A_COMPANY_A-334053
Merchant_2334 WBK,Food,Cafe,USD,REFUND_69_A,COMPANY_A-198246,COMPANY_A,2768.94,TXN Merchant_2334 WBK REF-NID75JU8,13,3,REFUND_69_A_COMPANY_A-198246
Merchant_2175 NAI,Travel,Cafe,GBP,BILL_98_A,COMPANY_A-216739,COMPANY_A,960.21,TXN Merchant_2175 NAI REF-Y3SJDSQL,4,5,BILL_98_A_COMPANY_A-216739
Merchant_4677 EPQ,Tech,Store,GBP,REFUND_69_A,COMPANY_A-198246,COMPANY_A,404.32,TXN Merchant_4677 EPQ REF-XZ5BLRNN,13,3,REFUND_69_A_COMPANY_A-198246
Merchant_2404 HRY,Travel,Cafe,USD,INTEREST_47_A,COMPANY_A-872246,COMPANY_A,2886.98,TXN Merchant_2404 HRY REF-Z2OHL4EM,8,14,INTEREST_47_A_COMPANY_A-872246
Merchant_159 HRQ,Retail,Uber,EUR,WITHDRAWAL_78_A,COMPANY_A-191161,COMPANY_A,290.28,TXN Merchant_159 HRQ REF-L0HBMTC6,17,2,WITHDRAWAL_78_A_COMPANY_A-191161
Merchant_2859 DGQ,Utilities,SaaS,USD,INTEREST_4_A,COMPANY_A-872246,COMPANY_A,2904.8,TXN Merchant_2859 DGQ REF-Y7Q8C9O9,9,14,INTEREST_4_A_COMPANY_A-872246
Merchant_2281 DRS,Food,Electric,GBP,BILL_58_A,COMPANY_A-126225,COMPANY_A,4801.07,TXN Merchant_2281 DRS REF-5OWSQDYJ,2,0,BILL_58_A_COMPANY_A-126225
Merchant_4552 BUW,Utilities,Cafe,GBP,DEPOSIT_44_A,COMPANY_A-334053,COMPANY_A,1503.73,TXN Merchant_4552 BUW REF-QBJ7OSVC,5,8,DEPOSIT_44_A_COMPANY_A-334053
Merchant_3367 PRW,Tech,Electric,GBP,REFUND_69_A,COMPANY_A-198246,COMPANY_A,1562.83,TXN Merchant_3367 PRW REF-VR5BCD0L,13,3,REFUND_69_A_COMPANY_A-198246
Merchant_3466 ROF,Logistics,Cafe,INR,TRANSFER_81_A,COMPANY_A-719176,COMPANY_A,373.04,TXN Merchant_3466 ROF REF-KBEGL1LR,16,11,TRANSFER_81_A_COMPANY_A-719176
Merchant_1735 PZS,Consulting,Uber,EUR,WITHDRAWAL_78_A,COMPANY_A-191161,COMPANY_A,3933.02,TXN Merchant_1735 PZS REF-U1EPBQRG,17,2,WITHDRAWAL_78_A_COMPANY_A-191161
Merchant_3874 MBN,Utilities,Uber,GBP,BILL_58_A,COMPANY_A-126225,COMPANY_A,2271.88,TXN Merchant_3874 MBN REF-1HCG6RL4,2,0,BILL_58_A_COMPANY_A-126225
Merchant_4503 OAQ,Travel,Uber,GBP,INTEREST_47_A,COMPANY_A-126225,COMPANY_A,1765.46,TXN Merchant_4503 OAQ REF-KL76GAYS,8,0,INTEREST_47_A_COMPANY_A-126225
Merchant_3905 JED,Logistics,SaaS,USD,BILL_65_A,COMPANY_A-334053,COMPANY_A,296.48,TXN Merchant_3905 JED REF-QJHVYFIQ,3,8,BILL_65_A_COMPANY_A-334053
Merchant_4144 PXA,Travel,Uber,EUR,ONLINE_49_A,COMPANY_A-809570,COMPANY_A,353.13,TXN Merchant_4144 PXA REF-YV47FPHL,11,13,ONLINE_49_A_COMPANY_A-809570
Merchant_4404 ICS,Food,Uber,EUR,REFUND_69_A,COMPANY_A-877572,COMPANY_A,2506.24,TXN Merchant_4404 ICS REF-4NKRIH3L,13,15,REFUND_69_A_COMPANY_A-877572
Merchant_2336 IEB,Logistics,SaaS,USD,BILL_98_A,COMPANY_A-770487,COMPANY_A,2176.9,TXN Merchant_2336 IEB REF-EV21URI2,4,12,BILL_98_A_COMPANY_A-770487
Merchant_4441 OPO,Food,Hotel,USD,TRANSFER_6_A,COMPANY_A-329258,COMPANY_A,2553.39,TXN Merchant_4441 OPO REF-X3PIO9NS,15,7,TRANSFER_6_A_COMPANY_A-329258
Merchant_1252 QKZ,Utilities,Cafe,USD,INTEREST_4_A,COMPANY_A-872246,COMPANY_A,1901.12,TXN Merchant_1252 QKZ REF-00NKTAY9,9,14,INTEREST_4_A_COMPANY_A-872246
Merchant_159 HRQ,Retail,Uber,EUR,WITHDRAWAL_78_A,COMPANY_A-191161,COMPANY_A,4672.53,TXN Merchant_159 HRQ REF-SP51G1AU,17,2,WITHDRAWAL_78_A_COMPANY_A-191161
Merchant_895 WWJ,Food,Hotel,GBP,BILL_98_A,COMPANY_A-246316,COMPANY_A,3082.44,TXN Merchant_895 WWJ REF-Y4LH2Q4H,4,6,BILL_98_A_COMPANY_A-246316
Merchant_26 ELS,Utilities,Store,USD,BILL_98_A,COMPANY_A-770487,COMPANY_A,4158.91,TXN Merchant_26 ELS REF-4NVC7GDD,4,12,BILL_98_A_COMPANY_A-770487
Merchant_1323 LSI,Utilities,Electric,USD,TRANSFER_81_A,COMPANY_A-671858,COMPANY_A,1590.16,TXN Merchant_1323 LSI REF-69L1LNLH,16,10,TRANSFER_81_A_COMPANY_A-671858
Merchant_4744 CCL,Logistics,Hotel,INR,REFUND_69_A,COMPANY_A-877572,COMPANY_A,278.59,TXN Merchant_4744 CCL REF-RIZ3M3XE,13,15,REFUND_69_A_COMPANY_A-877572
Merchant_1961 FUS,Tech,Store,EUR,INTEREST_4_A,COMPANY_A-872246,COMPANY_A,2770.94,TXN Merchant_1961 FUS REF-YXAZJFPR,9,14,INTEREST_4_A_COMPANY_A-872246
Merchant_913 SPZ,Logistics,Electric,USD,ONLINE_49_A,COMPANY_A-809570,COMPANY_A,314.19,TXN Merchant_913 SPZ REF-0I8APE84,11,13,ONLINE_49_A_COMPANY_A-809570
Merchant_4441 OPO,Food,Hotel,USD,TRANSFER_6_A,COMPANY_A-329258,COMPANY_A,3612.97,TXN Merchant_4441 OPO REF-Q9A81KU5,15,7,TRANSFER_6_A_COMPANY_A-329258
Merchant_1755 CZV,Utilities,Electric,USD,REFUND_69_A,COMPANY_A-246316,COMPANY_A,4043.99,TXN Merchant_1755 CZV REF-7ZY1HPL0,13,6,REFUND_69_A_COMPANY_A-246316
Merchant_482 ZDT,Utilities,Electric,EUR,ADJUSTMENT_26_A,COMPANY_A-809570,COMPANY_A,434.54,TXN Merchant_482 ZDT REF-IR44KHN7,0,13,ADJUSTMENT_26_A_COMPANY_A-809570
Merchant_1955 RVT,Logistics,Electric,USD,INTEREST_4_A,COMPANY_A-246316,COMPANY_A,4425.28,TXN Merchant_1955 RVT REF-IIKC7QPD,9,6,INTEREST_4_A_COMPANY_A-246316
Merchant_4785 YVG,Travel,Cafe,INR,ONLINE_49_A,COMPANY_A-246316,COMPANY_A,2369.86,TXN Merchant_4785 YVG REF-RFQS9OLW,11,6,ONLINE_49_A_COMPANY_A-246316
Merchant_4820 BBH,Travel,Hotel,GBP,INTEREST_47_A,COMPANY_A-872246,COMPANY_A,1036.61,TXN Merchant_4820 BBH REF-ST6NH8H9,8,14,INTEREST_47_A_COMPANY_A-872246
Merchant_3754 BMJ,Retail,Hotel,USD,FEE_90_A,COMPANY_A-334053,COMPANY_A,938.93,TXN Merchant_3754 BMJ REF-C3H3I54H,6,8,FEE_90_A_COMPANY_A-334053
Merchant_1348 KED,Consulting,Uber,GBP,ONLINE_49_A,COMPANY_A-207473,COMPANY_A,2980.41,TXN Merchant_1348 KED REF-HD46DS1U,11,4,ONLINE_49_A_COMPANY_A-207473
Merchant_4211 CFD,Food,Uber,EUR,BILL_98_A,COMPANY_A-770487,COMPANY_A,171.59,TXN Merchant_4211 CFD REF-20DWYKRG,4,12,BILL_98_A_COMPANY_A-770487
Merchant_3469 IUG,Retail,Cafe,INR,INTEREST_36_A,COMPANY_A-671858,COMPANY_A,1767.53,TXN Merchant_3469 IUG REF-JIR46F6L,7,10,INTEREST_36_A_COMPANY_A-671858
Merchant_2573 PYI,Tech,Hotel,INR,REFUND_69_A,COMPANY_A-877572,COMPANY_A,2182.61,TXN Merchant_2573 PYI REF-ZMU9WW2D,13,15,REFUND_69_A_COMPANY_A-877572
Merchant_561 DNF,Utilities,Uber,INR,BILL_98_A,COMPANY_A-770487,COMPANY_A,2248.77,TXN Merchant_561 DNF REF-6XRW6D4C,4,12,BILL_98_A_COMPANY_A-770487
Merchant_480 YWC,Logistics,Cafe,INR,POS_98_A,COMPANY_A-334053,COMPANY_A,3122.08,TXN Merchant_480 YWC REF-725VI830,12,8,POS_98_A_COMPANY_A-334053
Merchant_1629 AFI,Consulting,Store,INR,REFUND_69_A,COMPANY_A-198246,COMPANY_A,3436.82,TXN Merchant_1629 AFI REF-6MEMXBX9,13,3,REFUND_69_A_COMPANY_A-198246
Merchant_4144 PXA,Travel,Uber,EUR,ONLINE_49_A,COMPANY_A-809570,COMPANY_A,959.52,TXN Merchant_4144 PXA REF-L1CGGXUZ,11,13,ONLINE_49_A_COMPANY_A-809570
Merchant_172 SHG,Retail,Hotel,EUR,TRANSFER_20_A,COMPANY_A-877572,COMPANY_A,1903.43,TXN Merchant_172 SHG REF-VYOKN2P0,14,15,TRANSFER_20_A_COMPANY_A-877572
Merchant_1735 PZS,Consulting,Uber,EUR,WITHDRAWAL_78_A,COMPANY_A-191161,COMPANY_A,1615.9,TXN Merchant_1735 PZS REF-DPPH9EXL,17,2,WITHDRAWAL_78_A_COMPANY_A-191161
Merchant_17 ZUF,Consulting,Uber,EUR,INTEREST_36_A,COMPANY_A-671858,COMPANY_A,3185.94,TXN Merchant_17 ZUF REF-ZOYQF5IH,7,10,INTEREST_36_A_COMPANY_A-671858
Merchant_2859 DGQ,Utilities,SaaS,USD,INTEREST_4_A,COMPANY_A-872246,COMPANY_A,706.35,TXN Merchant_2859 DGQ REF-NS13S5CE,9,14,INTEREST_4_A_COMPANY_A-872246
Merchant_2569 PJP,Travel,Airline,GBP,WITHDRAWAL_78_A,COMPANY_A-126225,COMPANY_A,3142.4,TXN Merchant_2569 PJP REF-HDVXBMIR,17,0,WITHDRAWAL_78_A_COMPANY_A-126225
Merchant_524 LAH,Tech,Hotel,EUR,WITHDRAWAL_78_A,COMPANY_A-191161,COMPANY_A,2331.78,TXN Merchant_524 LAH REF-K1MHFY6K,17,2,WITHDRAWAL_78_A_COMPANY_A-191161
Merchant_4781 PYT,Retail,SaaS,EUR,TRANSFER_20_A,COMPANY_A-877572,COMPANY_A,3933.88,TXN Merchant_4781 PYT REF-TPSOT2Q4,14,15,TRANSFER_20_A_COMPANY_A-877572
Merchant_2569 PJP,Travel,Airline,GBP,WITHDRAWAL_78_A,COMPANY_A-126225,COMPANY_A,3071.01,TXN Merchant_2569 PJP REF-TIJJR4G2,17,0,WITHDRAWAL_78_A_COMPANY_A-126225
Merchant_656 FZB,Travel,Cafe,EUR,REFUND_69_A,COMPANY_A-877572,COMPANY_A,1649.0,TXN Merchant_656 FZB REF-W4XL006K,13,15,REFUND_69_A_COMPANY_A-877572
Merchant_1522 THD,Tech,Hotel,GBP,INTEREST_47_A,COMPANY_A-126225,COMPANY_A,3279.49,TXN Merchant_1522 THD REF-8ALH429J,8,0,INTEREST_47_A_COMPANY_A-126225
Merchant_594 ROL,Consulting,Cafe,GBP,ONLINE_46_A,COMPANY_A-719176,COMPANY_A,3963.81,TXN Merchant_594 ROL REF-ETUE6MFD,10,11,ONLINE_46_A_COMPANY_A-719176
