merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description,cc_type_id,cc_code_id,stratify_col
Merchant_2138 KRZ,Travel,Uber,USD,ADJUSTMENT_82_B,COMPANY_B-772025,COMPANY_B,193.05,TXN Merchant_2138 KRZ REF-ENEVJZ37,3,11,ADJUSTMENT_82_B_COMPANY_B-772025
Merchant_1890 PJJ,Travel,Cafe,INR,FEE_52_B,COMPANY_B-384247,COMPANY_B,1159.71,TXN Merchant_1890 PJJ REF-PR1DP7EX,8,5,FEE_52_B_COMPANY_B-384247
Merchant_4997 VWI,Consulting,SaaS,INR,WITHDRAWAL_1_B,COMPANY_B-810725,COMPANY_B,4383.45,TXN Merchant_4997 VWI REF-POH31RU9,18,14,WITHDRAWAL_1_B_COMPANY_B-810725
Merchant_4833 ULF,Travel,Hotel,EUR,ADJUSTMENT_82_B,COMPANY_B-207957,COMPANY_B,479.52,TXN Merchant_4833 ULF REF-XNR9C7WJ,3,2,ADJUSTMENT_82_B_COMPANY_B-207957
Merchant_3677 UIB,Retail,Hotel,GBP,FEE_77_B,COMPANY_B-810725,COMPANY_B,3666.07,TXN Merchant_3677 UIB REF-LHII3L1S,10,14,FEE_77_B_COMPANY_B-810725
Merchant_2324 EHF,Utilities,Cafe,INR,ADJUSTMENT_12_B,COMPANY_B-776541,COMPANY_B,4344.63,TXN Merchant_2324 EHF REF-HBJ32BT0,0,12,ADJUSTMENT_12_B_COMPANY_B-776541
Merchant_2437 ODU,Tech,Uber,INR,FEE_52_B,COMPANY_B-384247,COMPANY_B,3487.12,TXN Merchant_2437 ODU REF-DGXYS3QF,8,5,FEE_52_B_COMPANY_B-384247
Merchant_3086 PUM,Retail,SaaS,GBP,DEPOSIT_84_B,COMPANY_B-776541,COMPANY_B,4296.51,TXN Merchant_3086 PUM REF-56Q39GRF,7,12,DEPOSIT_84_B_COMPANY_B-776541
Merchant_4296 OGZ,Retail,SaaS,EUR,FEE_52_B,COMPANY_B-895474,COMPANY_B,4366.9,TXN Merchant_4296 OGZ REF-CM1M029S,8,16,FEE_52_B_COMPANY_B-895474
Merchant_603 CVS,Tech,Electric,USD,ADJUSTMENT_5_B,COMPANY_B-154321,COMPANY_B,1738.75,TXN Merchant_603 CVS REF-PIBXYV7I,1,1,ADJUSTMENT_5_B_COMPANY_B-154321
Merchant_73 DAM,Food,Airline,USD,ADJUSTMENT_12_B,COMPANY_B-776541,COMPANY_B,3498.79,TXN Merchant_73 DAM REF-ONMR2GVU,0,12,ADJUSTMENT_12_B_COMPANY_B-776541
Merchant_4528 SGQ,Tech,Cafe,GBP,POS_15_B,COMPANY_B-384247,COMPANY_B,3192.23,TXN Merchant_4528 SGQ REF-7PTCSREV,15,5,POS_15_B_COMPANY_B-384247
Merchant_1308 GZU,Logistics,Cafe,INR,FEE_68_B,COMPANY_B-384247,COMPANY_B,2998.15,TXN Merchant_1308 GZU REF-TYDSK8P8,9,5,FEE_68_B_COMPANY_B-384247
Merchant_4668 FBF,Logistics,Electric,INR,ADJUSTMENT_12_B,COMPANY_B-772025,COMPANY_B,4320.43,TXN Merchant_4668 FBF REF-UUYCUW7U,0,11,ADJUSTMENT_12_B_COMPANY_B-772025
Merchant_595 QCV,Logistics,SaaS,INR,POS_15_B,COMPANY_B-594378,COMPANY_B,3197.08,TXN Merchant_595 QCV REF-QUF3J887,15,9,POS_15_B_COMPANY_B-594378
Merchant_253 SKS,Food,Hotel,INR,ADJUSTMENT_81_B,COMPANY_B-776541,COMPANY_B,1446.82,TXN Merchant_253 SKS REF-80QMYCOP,2,12,ADJUSTMENT_81_B_COMPANY_B-776541
Merchant_4296 OGZ,Retail,SaaS,EUR,FEE_52_B,COMPANY_B-895474,COMPANY_B,3819.11,TXN Merchant_4296 OGZ REF-P5IP5XST,8,16,FEE_52_B_COMPANY_B-895474
Merchant_1414 ZUH,Retail,Airline,INR,ADJUSTMENT_82_B,COMPANY_B-207957,COMPANY_B,975.72,TXN Merchant_1414 ZUH REF-2JIY7V1G,3,2,ADJUSTMENT_82_B_COMPANY_B-207957
Merchant_3415 AUA,Utilities,Cafe,USD,ONLINE_59_B,COMPANY_B-776541,COMPANY_B,1129.41,TXN Merchant_3415 AUA REF-H5X12KVI,14,12,ONLINE_59_B_COMPANY_B-776541
Merchant_93 VBF,Travel,Electric,INR,POS_15_B,COMPANY_B-495213,COMPANY_B,2368.26,TXN Merchant_93 VBF REF-O0P9WMKE,15,7,POS_15_B_COMPANY_B-495213
Merchant_4058 TRK,Food,Cafe,GBP,TRANSFER_6_B,COMPANY_B-892309,COMPANY_B,2219.0,TXN Merchant_4058 TRK REF-QE8YKU5V,16,15,TRANSFER_6_B_COMPANY_B-892309
Merchant_4644 UZZ,Logistics,SaaS,GBP,BILL_58_B,COMPANY_B-892309,COMPANY_B,479.35,TXN Merchant_4644 UZZ REF-MVU8TEW6,5,15,BILL_58_B_COMPANY_B-892309
Merchant_1858 BUK,Food,Cafe,EUR,ADJUSTMENT_82_B,COMPANY_B-207957,COMPANY_B,1816.46,TXN Merchant_1858 BUK REF-PK4L61VW,3,2,ADJUSTMENT_82_B_COMPANY_B-207957
Merchant_1084 TVR,Travel,Store,INR,FEE_52_B,COMPANY_B-384247,COMPANY_B,1477.64,TXN Merchant_1084 TVR REF-1X8BW3WF,8,5,FEE_52_B_COMPANY_B-384247
Merchant_1109 NGZ,Utilities,Uber,INR,TRANSFER_6_B,COMPANY_B-776541,COMPANY_B,3314.45,TXN Merchant_1109 NGZ REF-Z3MXPF4K,16,12,TRANSFER_6_B_COMPANY_B-776541
Merchant_3340 IBN,Utilities,Store,INR,DEPOSIT_84_B,COMPANY_B-776541,COMPANY_B,2217.29,TXN Merchant_3340 IBN REF-SB3OHTAL,7,12,DEPOSIT_84_B_COMPANY_B-776541
Merchant_838 AZP,Logistics,Uber,EUR,ADJUSTMENT_81_B,COMPANY_B-776541,COMPANY_B,2241.9,TXN Merchant_838 AZP REF-RVM7GCDX,2,12,ADJUSTMENT_81_B_COMPANY_B-776541
Merchant_3054 ZYW,Tech,Electric,EUR,FEE_68_B,COMPANY_B-384247,COMPANY_B,87.6,TXN Merchant_3054 ZYW REF-02ICULX1,9,5,FEE_68_B_COMPANY_B-384247
Merchant_2138 KRZ,Travel,Uber,USD,ADJUSTMENT_82_B,COMPANY_B-772025,COMPANY_B,2306.87,TXN Merchant_2138 KRZ REF-7UCDOAZS,3,11,ADJUSTMENT_82_B_COMPANY_B-772025
Merchant_2607 HUK,Food,Airline,USD,ADJUSTMENT_12_B,COMPANY_B-772025,COMPANY_B,4641.62,TXN Merchant_2607 HUK REF-8TMOOA0J,0,11,ADJUSTMENT_12_B_COMPANY_B-772025
Merchant_2324 EHF,Utilities,Cafe,INR,ADJUSTMENT_12_B,COMPANY_B-776541,COMPANY_B,745.24,TXN Merchant_2324 EHF REF-SNPQNZ5W,0,12,ADJUSTMENT_12_B_COMPANY_B-776541
Merchant_344 OZZ,Travel,Electric,EUR,POS_15_B,COMPANY_B-795545,COMPANY_B,2648.62,TXN Merchant_344 OZZ REF-YC477EQ0,15,13,POS_15_B_COMPANY_B-795545
Merchant_2095 SFF,Travel,Cafe,GBP,DEPOSIT_84_B,COMPANY_B-776541,COMPANY_B,1589.13,TXN Merchant_2095 SFF REF-RT828ZF0,7,12,DEPOSIT_84_B_COMPANY_B-776541
Merchant_1991 HLR,Travel,Airline,USD,ADJUSTMENT_5_B,COMPANY_B-154321,COMPANY_B,4471.14,TXN Merchant_1991 HLR REF-0UHO04AV,1,1,ADJUSTMENT_5_B_COMPANY_B-154321
