merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description,cc_type_id,cc_code_id,stratify_col
Merchant_434 PHE,Travel,Uber,INR,REFUND_41_C,COMPANY_C-892494,COMPANY_C,3507.15,TXN Merchant_434 PHE REF-V2M22SFT,10,13,REFUND_41_C_COMPANY_C-892494
Merchant_2514 GJH,Logistics,SaaS,EUR,ONLINE_83_C,COMPANY_C-725545,COMPANY_C,1610.62,TXN Merchant_2514 GJH REF-LHEWS2Z9,7,10,ONLINE_83_C_COMPANY_C-725545
Merchant_3760 ZFA,Tech,Uber,INR,REFUND_28_C,COMPANY_C-608678,COMPANY_C,4491.16,TXN Merchant_3760 ZFA REF-DBPVAGLG,9,8,REFUND_28_C_COMPANY_C-608678
Merchant_1958 KDN,Tech,Uber,INR,REFUND_11_C,COMPANY_C-160189,COMPANY_C,2431.25,TXN Merchant_1958 KDN REF-AXRLN2Y0,8,2,REFUND_11_C_COMPANY_C-160189
Merchant_4237 FUL,Utilities,Uber,EUR,ONLINE_31_C,COMPANY_C-237489,COMPANY_C,324.7,TXN Merchant_4237 FUL REF-JA0PUO8S,6,3,ONLINE_31_C_COMPANY_C-237489
Merchant_3492 JWN,Tech,Uber,EUR,ONLINE_31_C,COMPANY_C-237489,COMPANY_C,4078.36,TXN Merchant_3492 JWN REF-LUNDR5LG,6,3,ONLINE_31_C_COMPANY_C-237489
Merchant_2640 CEO,Retail,Store,GBP,BILL_96_C,COMPANY_C-142907,COMPANY_C,3198.54,TXN Merchant_2640 CEO REF-YYXE2YLQ,1,1,BILL_96_C_COMPANY_C-142907
Merchant_3418 WJY,Food,Hotel,INR,FEE_93_C,COMPANY_C-993329,COMPANY_C,2148.0,TXN Merchant_3418 WJY REF-77023ZQY,2,15,FEE_93_C_COMPANY_C-993329
Merchant_687 RDK,Food,Cafe,GBP,REFUND_11_C,COMPANY_C-361663,COMPANY_C,1207.91,TXN Merchant_687 RDK REF-B9US2MZ9,8,4,REFUND_11_C_COMPANY_C-361663
Merchant_3156 OEE,Consulting,Hotel,GBP,ADJUSTMENT_26_C,COMPANY_C-132039,COMPANY_C,3392.66,TXN Merchant_3156 OEE REF-OYDNMQWY,0,0,ADJUSTMENT_26_C_COMPANY_C-132039
Merchant_152 QPT,Utilities,Cafe,GBP,ADJUSTMENT_26_C,COMPANY_C-994015,COMPANY_C,1106.43,TXN Merchant_152 QPT REF-H0JHOHC5,0,16,ADJUSTMENT_26_C_COMPANY_C-994015
Merchant_2102 KPN,Food,Uber,USD,BILL_96_C,COMPANY_C-684073,COMPANY_C,1741.58,TXN Merchant_2102 KPN REF-BLMY1EJE,1,9,BILL_96_C_COMPANY_C-684073
Merchant_516 URM,Consulting,Airline,INR,REFUND_62_C,COMPANY_C-500126,COMPANY_C,3216.27,TXN Merchant_516 URM REF-5CMVVKGH,11,6,REFUND_62_C_COMPANY_C-500126
Merchant_3601 AKU,Food,Cafe,INR,REFUND_11_C,COMPANY_C-132039,COMPANY_C,2837.08,TXN Merchant_3601 AKU REF-Q58YEBZ4,8,0,REFUND_11_C_COMPANY_C-132039
Merchant_2625 JZI,Logistics,Store,INR,INTEREST_47_C,COMPANY_C-994015,COMPANY_C,619.6,TXN Merchant_2625 JZI REF-UGLJ3E03,3,16,INTEREST_47_C_COMPANY_C-994015
Merchant_3916 KDD,Food,SaaS,INR,REFUND_41_C,COMPANY_C-993329,COMPANY_C,437.94,TXN Merchant_3916 KDD REF-GY6SARU8,10,15,REFUND_41_C_COMPANY_C-993329
Merchant_763 DNO,Tech,Electric,INR,ADJUSTMENT_26_C,COMPANY_C-994015,COMPANY_C,2895.55,TXN Merchant_763 DNO REF-PMLBECAN,0,16,ADJUSTMENT_26_C_COMPANY_C-994015
Merchant_3988 CSW,Food,Hotel,EUR,FEE_93_C,COMPANY_C-993329,COMPANY_C,2890.03,TXN Merchant_3988 CSW REF-KW3538JD,2,15,FEE_93_C_COMPANY_C-993329
Merchant_3213 ZRU,Tech,Airline,USD,REFUND_11_C,COMPANY_C-919610,COMPANY_C,4772.75,TXN Merchant_3213 ZRU REF-C6A7M4LI,8,14,REFUND_11_C_COMPANY_C-919610
Merchant_248 KGH,Tech,Store,EUR,ONLINE_83_C,COMPANY_C-725545,COMPANY_C,4587.36,TXN Merchant_248 KGH REF-VXFHXF11,7,10,ONLINE_83_C_COMPANY_C-725545
Merchant_1339 OBK,Consulting,Store,GBP,REFUND_41_C,COMPANY_C-892494,COMPANY_C,70.4,TXN Merchant_1339 OBK REF-VVD01CVP,10,13,REFUND_41_C_COMPANY_C-892494
Merchant_2035 XMI,Travel,Uber,EUR,REFUND_11_C,COMPANY_C-361663,COMPANY_C,361.97,TXN Merchant_2035 XMI REF-0P3OEQUB,8,4,REFUND_11_C_COMPANY_C-361663
Merchant_3418 WJY,Food,Hotel,INR,FEE_93_C,COMPANY_C-993329,COMPANY_C,3886.14,TXN Merchant_3418 WJY REF-AL7RKEGO,2,15,FEE_93_C_COMPANY_C-993329
Merchant_119 ARG,Consulting,Electric,USD,ONLINE_31_C,COMPANY_C-684073,COMPANY_C,901.83,TXN Merchant_119 ARG REF-LN4KG3LO,6,9,ONLINE_31_C_COMPANY_C-684073
Merchant_4674 HQJ,Utilities,Cafe,INR,BILL_96_C,COMPANY_C-142907,COMPANY_C,2123.53,TXN Merchant_4674 HQJ REF-W3V9035O,1,1,BILL_96_C_COMPANY_C-142907
Merchant_4321 JVU,Tech,Uber,INR,WITHDRAWAL_14_C,COMPANY_C-892494,COMPANY_C,1675.67,TXN Merchant_4321 JVU REF-N561BQCT,13,13,WITHDRAWAL_14_C_COMPANY_C-892494
Merchant_3678 EJK,Food,Cafe,EUR,INTEREST_47_C,COMPANY_C-725545,COMPANY_C,1070.55,TXN Merchant_3678 EJK REF-L4B3VSQ7,3,10,INTEREST_47_C_COMPANY_C-725545
Merchant_4920 GYX,Consulting,Uber,EUR,ONLINE_31_C,COMPANY_C-684073,COMPANY_C,2831.98,TXN Merchant_4920 GYX REF-QPGT6QHH,6,9,ONLINE_31_C_COMPANY_C-684073
Merchant_314 HLO,Logistics,Hotel,EUR,INTEREST_85_C,COMPANY_C-608678,COMPANY_C,4064.18,TXN Merchant_314 HLO REF-7R6ZOI0K,5,8,INTEREST_85_C_COMPANY_C-608678
Merchant_4901 LXU,Utilities,Uber,USD,REFUND_62_C,COMPANY_C-684073,COMPANY_C,4735.19,TXN Merchant_4901 LXU REF-7IRQJXHN,11,9,REFUND_62_C_COMPANY_C-684073
Merchant_4237 FUL,Utilities,Uber,EUR,ONLINE_31_C,COMPANY_C-237489,COMPANY_C,2332.4,TXN Merchant_4237 FUL REF-U3X04TBK,6,3,ONLINE_31_C_COMPANY_C-237489
Merchant_3228 XFW,Travel,Cafe,USD,ONLINE_83_C,COMPANY_C-740502,COMPANY_C,1489.75,TXN Merchant_3228 XFW REF-ENP3EILD,7,11,ONLINE_83_C_COMPANY_C-740502
Merchant_84 KTH,Food,SaaS,EUR,FEE_93_C,COMPANY_C-993329,COMPANY_C,151.78,TXN Merchant_84 KTH REF-DCB6DX5P,2,15,FEE_93_C_COMPANY_C-993329
