merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_4598 HRQ,Retail,Uber,EUR,FEE_A,COMPANY_A-900581,COMPANY_A,248.27,TXN Merchant_4598 HRQ REF-FSG3WL0I
Merchant_2185 WGM,Utilities,Hotel,GBP,POS_A,COMPANY_A-498382,COMPANY_A,3595.54,TXN Merchant_2185 WGM REF-A0CK6OIC
Merchant_580 RQP,Retail,Store,INR,ONLINE_A,COMPANY_A-895667,COMPANY_A,2724.97,TXN Merchant_580 RQP REF-SI0V1DDQ
Merchant_1973 MBN,Utilities,Uber,GBP,FEE_A,COMPANY_A-678856,COMPANY_A,3944.71,TXN Merchant_1973 MBN REF-CQMRQB1J
Merchant_4393 KTL,Tech,Store,INR,BILL_A,COMPANY_A-391476,COMPANY_A,883.69,TXN Merchant_4393 KTL REF-SGPMT2RG
Merchant_4988 ZDT,Utilities,Electric,EUR,FEE_A,COMPANY_A-910620,COMPANY_A,1015.94,TXN Merchant_4988 ZDT REF-SVBBETH1
Merchant_3675 LKQ,Food,Store,GBP,FEE_A,COMPANY_A-126225,COMPANY_A,963.61,TXN Merchant_3675 LKQ REF-CSVB4DWQ
Merchant_1030 IUG,Retail,Cafe,INR,FEE_A,COMPANY_A-766563,COMPANY_A,1701.79,TXN Merchant_1030 IUG REF-6ODS92FF
Merchant_1252 VXZ,Utilities,Store,GBP,FEE_A,COMPANY_A-766563,COMPANY_A,2731.92,TXN Merchant_1252 VXZ REF-B2NBLFOC
Merchant_4562 TEH,Travel,Hotel,INR,TRANSFER_A,COMPANY_A-571029,COMPANY_A,3636.8,TXN Merchant_4562 TEH REF-WMFNS2OE
Merchant_552 KYA,Food,Airline,GBP,FEE_A,COMPANY_A-678856,COMPANY_A,4007.47,TXN Merchant_552 KYA REF-OY5LS12S
Merchant_645 AQU,Logistics,Airline,INR,BILL_A,COMPANY_A-205907,COMPANY_A,1817.13,TXN Merchant_645 AQU REF-Y15GDF24
Merchant_645 AQU,Logistics,Airline,INR,BILL_A,COMPANY_A-205907,COMPANY_A,1996.19,TXN Merchant_645 AQU REF-N84QHDK9
Merchant_1295 RJO,Food,SaaS,INR,FEE_A,COMPANY_A-476417,COMPANY_A,3523.15,TXN Merchant_1295 RJO REF-7MOZ7426
Merchant_3978 PYI,Tech,Hotel,INR,ONLINE_A,COMPANY_A-329258,COMPANY_A,2231.1,TXN Merchant_3978 PYI REF-3OUBC2JW
Merchant_1133 IXC,Travel,Airline,GBP,TRANSFER_A,COMPANY_A-629903,COMPANY_A,3561.93,TXN Merchant_1133 IXC REF-XMSI474S
Merchant_1338 LZZ,Retail,Electric,EUR,ONLINE_A,COMPANY_A-148050,COMPANY_A,1810.87,TXN Merchant_1338 LZZ REF-KGZ4V2EP
Merchant_4819 XYZ,Food,Hotel,INR,POS_A,COMPANY_A-131244,COMPANY_A,2633.22,TXN Merchant_4819 XYZ REF-RT2ZNGOC
Merchant_2430 YPL,Consulting,Cafe,EUR,FEE_A,COMPANY_A-900581,COMPANY_A,2761.0,TXN Merchant_2430 YPL REF-LR4IVTIA
Merchant_4174 SBK,Utilities,SaaS,GBP,POS_A,COMPANY_A-246316,COMPANY_A,1620.08,TXN Merchant_4174 SBK REF-PCXWU9MJ
Merchant_4415 FFA,Travel,SaaS,USD,TRANSFER_A,COMPANY_A-969693,COMPANY_A,3128.86,TXN Merchant_4415 FFA REF-M3NLK6MW
Merchant_916 OTE,Utilities,Hotel,GBP,FEE_A,COMPANY_A-456778,COMPANY_A,4214.22,TXN Merchant_916 OTE REF-KT11NKNR
Merchant_3466 WWJ,Food,Hotel,GBP,ONLINE_A,COMPANY_A-183667,COMPANY_A,3094.36,TXN Merchant_3466 WWJ REF-1WJNA8TE
Merchant_991 HOR,Logistics,Store,GBP,ONLINE_A,COMPANY_A-263032,COMPANY_A,374.14,TXN Merchant_991 HOR REF-2FH7LBPQ
Merchant_2519 KIC,Travel,Cafe,GBP,POS_A,COMPANY_A-301629,COMPANY_A,4877.12,TXN Merchant_2519 KIC REF-4DKBG983
Merchant_2444 PRD,Consulting,Electric,INR,TRANSFER_A,COMPANY_A-191161,COMPANY_A,4727.47,TXN Merchant_2444 PRD REF-VFYWTXP6
Merchant_1133 IXC,Travel,Airline,GBP,TRANSFER_A,COMPANY_A-629903,COMPANY_A,2496.35,TXN Merchant_1133 IXC REF-IHB0YIY7
Merchant_474 IIZ,Tech,Uber,USD,ONLINE_A,COMPANY_A-183667,COMPANY_A,252.8,TXN Merchant_474 IIZ REF-ALUOA034
Merchant_3716 SHG,Retail,Hotel,EUR,POS_A,COMPANY_A-207175,COMPANY_A,3640.27,TXN Merchant_3716 SHG REF-RDEK7J2I
Merchant_4552 KJK,Retail,Cafe,EUR,FEE_A,COMPANY_A-126225,COMPANY_A,2753.79,TXN Merchant_4552 KJK REF-TML43DZK
Merchant_645 AQU,Logistics,Airline,INR,BILL_A,COMPANY_A-205907,COMPANY_A,3777.28,TXN Merchant_645 AQU REF-7II14BHG
Merchant_443 JED,Logistics,SaaS,USD,TRANSFER_A,COMPANY_A-629903,COMPANY_A,4466.73,TXN Merchant_443 JED REF-5XBEMULI
Merchant_1875 TEK,Retail,Uber,GBP,ONLINE_A,COMPANY_A-472528,COMPANY_A,2666.38,TXN Merchant_1875 TEK REF-PATDOZLS
Merchant_3285 FDC,Consulting,Uber,USD,ONLINE_A,COMPANY_A-148050,COMPANY_A,4361.77,TXN Merchant_3285 FDC REF-ML9NYK81
Merchant_4819 XYZ,Food,Hotel,INR,POS_A,COMPANY_A-131244,COMPANY_A,860.86,TXN Merchant_4819 XYZ REF-MMU5O1Y3
Merchant_4375 ROI,Food,Airline,INR,ONLINE_A,COMPANY_A-895667,COMPANY_A,2210.78,TXN Merchant_4375 ROI REF-FE7IMGUQ
Merchant_1362 BCR,Food,Cafe,EUR,POS_A,COMPANY_A-498382,COMPANY_A,699.03,TXN Merchant_1362 BCR REF-7BNIB6WC
Merchant_474 IIZ,Tech,Uber,USD,ONLINE_A,COMPANY_A-183667,COMPANY_A,3382.58,TXN Merchant_474 IIZ REF-VOS9HYAA
Merchant_1629 JXH,Utilities,SaaS,INR,BILL_A,COMPANY_A-391476,COMPANY_A,3858.16,TXN Merchant_1629 JXH REF-POHHKXPA
Merchant_3334 LFI,Tech,SaaS,GBP,POS_A,COMPANY_A-542417,COMPANY_A,3386.35,TXN Merchant_3334 LFI REF-DZTYSAAP
Merchant_2519 KIC,Travel,Cafe,GBP,POS_A,COMPANY_A-301629,COMPANY_A,4620.81,TXN Merchant_2519 KIC REF-NQ7T9K93
Merchant_17 GGZ,Consulting,SaaS,EUR,FEE_A,COMPANY_A-733052,COMPANY_A,2938.28,TXN Merchant_17 GGZ REF-8OJM1EP3
Merchant_1268 AXM,Consulting,Airline,GBP,FEE_A,COMPANY_A-678856,COMPANY_A,695.96,TXN Merchant_1268 AXM REF-YZ5NVHNR
Merchant_871 GWC,Retail,SaaS,GBP,TRANSFER_A,COMPANY_A-809570,COMPANY_A,1612.63,TXN Merchant_871 GWC REF-NW3KJQXW
Merchant_385 TOP,Travel,SaaS,EUR,FEE_A,COMPANY_A-456778,COMPANY_A,2095.25,TXN Merchant_385 TOP REF-UX1US6QV
Merchant_2444 PRD,Consulting,Electric,INR,TRANSFER_A,COMPANY_A-191161,COMPANY_A,4384.95,TXN Merchant_2444 PRD REF-0K3ZAZJH
Merchant_4788 GRA,Consulting,Uber,USD,POS_A,COMPANY_A-496922,COMPANY_A,4256.79,TXN Merchant_4788 GRA REF-G645G96Q
Merchant_4988 ZDT,Utilities,Electric,EUR,FEE_A,COMPANY_A-910620,COMPANY_A,2843.23,TXN Merchant_4988 ZDT REF-R6UWTI3O
Merchant_1310 OAQ,Travel,Uber,GBP,TRANSFER_A,COMPANY_A-308496,COMPANY_A,4908.61,TXN Merchant_1310 OAQ REF-HX0DG9BK
Merchant_3334 LFI,Tech,SaaS,GBP,POS_A,COMPANY_A-542417,COMPANY_A,67.06,TXN Merchant_3334 LFI REF-NO24BEIW
Merchant_1362 BCR,Food,Cafe,EUR,POS_A,COMPANY_A-498382,COMPANY_A,3851.51,TXN Merchant_1362 BCR REF-OMXD7YHG
Merchant_443 JED,Logistics,SaaS,USD,TRANSFER_A,COMPANY_A-629903,COMPANY_A,1874.39,TXN Merchant_443 JED REF-PWRSTROL
