merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_3588 ENQ,Utilities,Uber,GBP,TRANSFER_20_A,COMPANY_A-542417,COMPANY_A,228.59,TXN Merchant_3588 ENQ REF-71XIZJ9R
Merchant_2553 UUO,Retail,Cafe,GBP,POS_98_A,COMPANY_A-198246,COMPANY_A,1437.69,TXN Merchant_2553 UUO REF-V1N9SFEF
Merchant_895 WWJ,Food,Hotel,GBP,BILL_98_A,COMPANY_A-246316,COMPANY_A,1701.79,TXN Merchant_895 WWJ REF-6ODS92FF
Merchant_4417 CAI,Logistics,SaaS,GBP,BILL_98_A,COMPANY_A-216739,COMPANY_A,2731.92,TXN Merchant_4417 CAI REF-B2NBLFOC
Merchant_871 ATI,Tech,Uber,EUR,REFUND_69_A,COMPANY_A-246316,COMPANY_A,3636.8,TXN Merchant_871 ATI REF-WMFNS2OE
Merchant_2336 IEB,Logistics,SaaS,USD,BILL_98_A,COMPANY_A-770487,COMPANY_A,4007.47,TXN Merchant_2336 IEB REF-OY5LS12S
Merchant_443 OGU,Retail,Cafe,GBP,TRANSFER_81_A,COMPANY_A-671858,COMPANY_A,1817.13,TXN Merchant_443 OGU REF-Y15GDF24
Merchant_443 OGU,Retail,Cafe,GBP,TRANSFER_81_A,COMPANY_A-671858,COMPANY_A,1996.19,TXN Merchant_443 OGU REF-N84QHDK9
Merchant_581 PRD,Consulting,Electric,INR,ONLINE_49_A,COMPANY_A-207473,COMPANY_A,3523.15,TXN Merchant_581 PRD REF-7MOZ7426
Merchant_594 ROL,Consulting,Cafe,GBP,ONLINE_46_A,COMPANY_A-719176,COMPANY_A,2231.1,TXN Merchant_594 ROL REF-3OUBC2JW
Merchant_1352 BJF,Food,Cafe,GBP,REFUND_69_A,COMPANY_A-246316,COMPANY_A,3561.93,TXN Merchant_1352 BJF REF-XMSI474S
Merchant_2157 YRD,Retail,Uber,INR,INTEREST_36_A,COMPANY_A-671858,COMPANY_A,1810.87,TXN Merchant_2157 YRD REF-KGZ4V2EP
Merchant_1751 TEK,Retail,Uber,GBP,WITHDRAWAL_78_A,COMPANY_A-207473,COMPANY_A,2633.22,TXN Merchant_1751 TEK REF-RT2ZNGOC
Merchant_4450 QVB,Consulting,SaaS,USD,FEE_90_A,COMPANY_A-334053,COMPANY_A,2761.0,TXN Merchant_4450 QVB REF-LR4IVTIA
Merchant_2171 TVG,Retail,SaaS,USD,BILL_98_A,COMPANY_A-246316,COMPANY_A,1620.08,TXN Merchant_2171 TVG REF-PCXWU9MJ
Merchant_701 IXC,Travel,Airline,GBP,BILL_65_A,COMPANY_A-334053,COMPANY_A,3128.86,TXN Merchant_701 IXC REF-M3NLK6MW
Merchant_772 AKF,Consulting,Store,GBP,INTEREST_4_A,COMPANY_A-872246,COMPANY_A,4214.22,TXN Merchant_772 AKF REF-KT11NKNR
Merchant_1503 RLH,Tech,Uber,GBP,INTEREST_47_A,COMPANY_A-872246,COMPANY_A,3094.36,TXN Merchant_1503 RLH REF-1WJNA8TE
Merchant_764 JUA,Utilities,Store,GBP,POS_98_A,COMPANY_A-198246,COMPANY_A,374.14,TXN Merchant_764 JUA REF-2FH7LBPQ
Merchant_3531 VZG,Utilities,Airline,GBP,BILL_98_A,COMPANY_A-216739,COMPANY_A,4877.12,TXN Merchant_3531 VZG REF-4DKBG983
Merchant_1949 BUP,Consulting,Electric,INR,BILL_58_A,COMPANY_A-126225,COMPANY_A,4727.47,TXN Merchant_1949 BUP REF-VFYWTXP6
Merchant_1352 BJF,Food,Cafe,GBP,REFUND_69_A,COMPANY_A-246316,COMPANY_A,2496.35,TXN Merchant_1352 BJF REF-IHB0YIY7
Merchant_3469 IUG,Retail,Cafe,INR,INTEREST_36_A,COMPANY_A-671858,COMPANY_A,252.8,TXN Merchant_3469 IUG REF-ALUOA034
Merchant_482 ZDT,Utilities,Electric,EUR,ADJUSTMENT_26_A,COMPANY_A-809570,COMPANY_A,3640.27,TXN Merchant_482 ZDT REF-RDEK7J2I
Merchant_3027 NJY,Utilities,Electric,USD,TRANSFER_81_A,COMPANY_A-671858,COMPANY_A,2753.79,TXN Merchant_3027 NJY REF-TML43DZK
Merchant_443 OGU,Retail,Cafe,GBP,TRANSFER_81_A,COMPANY_A-671858,COMPANY_A,3777.28,TXN Merchant_443 OGU REF-7II14BHG
Merchant_561 DNF,Utilities,Uber,INR,BILL_98_A,COMPANY_A-770487,COMPANY_A,4466.73,TXN Merchant_561 DNF REF-5XBEMULI
Merchant_3727 RAA,Consulting,Uber,EUR,INTEREST_36_A,COMPANY_A-671858,COMPANY_A,2666.38,TXN Merchant_3727 RAA REF-PATDOZLS
Merchant_4612 CEL,Utilities,Airline,GBP,ONLINE_49_A,COMPANY_A-207473,COMPANY_A,4361.77,TXN Merchant_4612 CEL REF-ML9NYK81
