merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_616 NBY,Retail,SaaS,EUR,FEE_B,COMPANY_B-740413,COMPANY_B,1140.93,TXN Merchant_616 NBY REF-ADZDJM98
Merchant_4796 MPC,Travel,Electric,GBP,FEE_B,COMPANY_B-772025,COMPANY_B,3987.51,TXN Merchant_4796 MPC REF-0G7ADG96
Merchant_3721 PCJ,Travel,Cafe,USD,POS_B,COMPANY_B-810725,COMPANY_B,1733.43,TXN Merchant_3721 PCJ REF-MCA2M9XX
Merchant_4240 IUP,Consulting,SaaS,USD,BILL_B,COMPANY_B-764815,COMPANY_B,2129.23,TXN Merchant_4240 IUP REF-FCYW2NEJ
Merchant_3367 ROA,Consulting,Uber,GBP,ONLINE_B,COMPANY_B-560523,COMPANY_B,4172.3,TXN Merchant_3367 ROA REF-AZ8RUODW
Merchant_1059 OXF,Logistics,Electric,GBP,TRANSFER_B,COMPANY_B-959335,COMPANY_B,2958.09,TXN Merchant_1059 OXF REF-T7HG0ZLP
Merchant_1305 VOJ,Retail,Cafe,INR,BILL_B,COMPANY_B-105851,COMPANY_B,2684.71,TXN Merchant_1305 VOJ REF-AM87XTFU
Merchant_1788 GEO,Travel,Cafe,EUR,TRANSFER_B,COMPANY_B-820463,COMPANY_B,4846.53,TXN Merchant_1788 GEO REF-QKNDT4WE
Merchant_2983 GJD,Travel,Hotel,USD,TRANSFER_B,COMPANY_B-316265,COMPANY_B,2303.8,TXN Merchant_2983 GJD REF-LDEF25BE
Merchant_17 ODW,Utilities,Store,USD,TRANSFER_B,COMPANY_B-820463,COMPANY_B,1396.65,TXN Merchant_17 ODW REF-TX4U4OZ9
Merchant_1991 HVA,Travel,Uber,INR,FEE_B,COMPANY_B-442711,COMPANY_B,2725.65,TXN Merchant_1991 HVA REF-2ZQYJWHM
Merchant_2069 LEX,Tech,Store,INR,ONLINE_B,COMPANY_B-661577,COMPANY_B,478.0,TXN Merchant_2069 LEX REF-VMBM9E90
Merchant_2450 SFF,Travel,Cafe,GBP,ONLINE_B,COMPANY_B-191328,COMPANY_B,1064.33,TXN Merchant_2450 SFF REF-RCGUWFBV
Merchant_3969 VWI,Food,Hotel,INR,ONLINE_B,COMPANY_B-191328,COMPANY_B,4069.65,TXN Merchant_3969 VWI REF-3DH47KSC
Merchant_2264 QYA,Travel,Airline,EUR,POS_B,COMPANY_B-920835,COMPANY_B,1913.15,TXN Merchant_2264 QYA REF-MCK56ODV
Merchant_392 MZB,Tech,Store,EUR,FEE_B,COMPANY_B-740413,COMPANY_B,1500.17,TXN Merchant_392 MZB REF-17USTBZQ
Merchant_1594 UZZ,Logistics,SaaS,GBP,POS_B,COMPANY_B-265397,COMPANY_B,1722.94,TXN Merchant_1594 UZZ REF-QZTS9AOV
Merchant_1168 AUA,Utilities,Cafe,USD,POS_B,COMPANY_B-571482,COMPANY_B,2410.74,TXN Merchant_1168 AUA REF-6W80G889
Merchant_3125 WQB,Travel,Hotel,EUR,FEE_B,COMPANY_B-543430,COMPANY_B,1387.21,TXN Merchant_3125 WQB REF-QPDHK7C4
Merchant_4794 KTZ,Retail,Uber,USD,BILL_B,COMPANY_B-279952,COMPANY_B,3910.52,TXN Merchant_4794 KTZ REF-GILB2V00
Merchant_465 ZYW,Tech,Electric,EUR,ONLINE_B,COMPANY_B-790685,COMPANY_B,1434.22,TXN Merchant_465 ZYW REF-FNFI1JD1
Merchant_254 FMF,Retail,Airline,INR,POS_B,COMPANY_B-825959,COMPANY_B,3618.2,TXN Merchant_254 FMF REF-JY373328
Merchant_3318 SGQ,Tech,Cafe,GBP,FEE_B,COMPANY_B-772025,COMPANY_B,2678.95,TXN Merchant_3318 SGQ REF-63SHJJ3M
Merchant_2443 JAP,Travel,Electric,INR,ONLINE_B,COMPANY_B-191328,COMPANY_B,3158.0,TXN Merchant_2443 JAP REF-BABG1NN0
Merchant_152 YSH,Tech,Cafe,INR,POS_B,COMPANY_B-810725,COMPANY_B,4111.62,TXN Merchant_152 YSH REF-N8T2X6Q0
Merchant_763 HQR,Tech,SaaS,EUR,TRANSFER_B,COMPANY_B-460437,COMPANY_B,273.44,TXN Merchant_763 HQR REF-76IVZOCP
Merchant_3122 KON,Utilities,Electric,GBP,FEE_B,COMPANY_B-878566,COMPANY_B,1638.94,TXN Merchant_3122 KON REF-T6Q3S0E1
Merchant_983 CVS,Tech,Electric,USD,ONLINE_B,COMPANY_B-560523,COMPANY_B,386.19,TXN Merchant_983 CVS REF-BL53UF8U
Merchant_1984 KLN,Consulting,SaaS,EUR,FEE_B,COMPANY_B-746898,COMPANY_B,711.84,TXN Merchant_1984 KLN REF-441Z8Z4N
Merchant_3676 APL,Food,Uber,GBP,TRANSFER_B,COMPANY_B-959335,COMPANY_B,1868.47,TXN Merchant_3676 APL REF-50YQRU47
Merchant_2525 ZAU,Consulting,Cafe,GBP,FEE_B,COMPANY_B-740413,COMPANY_B,1540.67,TXN Merchant_2525 ZAU REF-83866DZS
Merchant_1424 QSA,Tech,Electric,USD,FEE_B,COMPANY_B-442711,COMPANY_B,1223.85,TXN Merchant_1424 QSA REF-LCUOB76E
Merchant_1055 YJS,Travel,Electric,EUR,POS_B,COMPANY_B-951153,COMPANY_B,4022.74,TXN Merchant_1055 YJS REF-LF09IF9Q
Merchant_1105 DCM,Utilities,Hotel,EUR,TRANSFER_B,COMPANY_B-594378,COMPANY_B,4053.1,TXN Merchant_1105 DCM REF-Y8RMHWT9
Merchant_3601 IQY,Utilities,Cafe,USD,FEE_B,COMPANY_B-102088,COMPANY_B,2755.23,TXN Merchant_3601 IQY REF-M6G8ERC6
Merchant_665 OFA,Logistics,Uber,GBP,FEE_B,COMPANY_B-746898,COMPANY_B,4909.36,TXN Merchant_665 OFA REF-ETK2HWYD
Merchant_4852 PIR,Consulting,SaaS,INR,FEE_B,COMPANY_B-772025,COMPANY_B,4362.96,TXN Merchant_4852 PIR REF-IMEA9SD8
Merchant_2280 EQH,Logistics,Uber,USD,BILL_B,COMPANY_B-740151,COMPANY_B,3492.87,TXN Merchant_2280 EQH REF-5VRYXEPO
Merchant_2167 OGA,Logistics,Store,EUR,TRANSFER_B,COMPANY_B-820463,COMPANY_B,1049.81,TXN Merchant_2167 OGA REF-KOX4MRJC
Merchant_4852 PIR,Consulting,SaaS,INR,FEE_B,COMPANY_B-772025,COMPANY_B,778.94,TXN Merchant_4852 PIR REF-7WRDX53H
Merchant_1424 QSA,Tech,Electric,USD,FEE_B,COMPANY_B-442711,COMPANY_B,3208.36,TXN Merchant_1424 QSA REF-VPF7MXB7
