merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_1890 PJJ,Travel,Cafe,INR,FEE_52_B,COMPANY_B-384247,COMPANY_B,3628.74,TXN Merchant_1890 PJJ REF-YJWHM0HG
Merchant_2607 HUK,Food,Airline,USD,ADJUSTMENT_12_B,COMPANY_B-772025,COMPANY_B,1643.72,TXN Merchant_2607 HUK REF-M9E9058U
Merchant_1984 VOJ,Retail,Cafe,INR,ADJUSTMENT_81_B,COMPANY_B-776541,COMPANY_B,2295.03,TXN Merchant_1984 VOJ REF-UWFBVD1J
Merchant_4794 OBJ,Food,Hotel,INR,DEPOSIT_81_B,COMPANY_B-460437,COMPANY_B,2453.19,TXN Merchant_4794 OBJ REF-47KSCWDM
Merchant_3144 XNY,Tech,SaaS,INR,POS_15_B,COMPANY_B-495213,COMPANY_B,1786.51,TXN Merchant_3144 XNY REF-RNHFU93L
Merchant_3697 CBM,Travel,Hotel,EUR,DEPOSIT_84_B,COMPANY_B-154321,COMPANY_B,1089.5,TXN Merchant_3697 CBM REF-USTBZQC2
Merchant_1913 ZFE,Retail,SaaS,INR,DEPOSIT_84_B,COMPANY_B-154321,COMPANY_B,4894.06,TXN Merchant_1913 ZFE REF-TS9AOVE5
Merchant_693 NLP,Retail,Hotel,INR,DEPOSIT_84_B,COMPANY_B-154321,COMPANY_B,4553.92,TXN Merchant_693 NLP REF-80G889DD
Merchant_3968 BAA,Travel,Airline,USD,TRANSFER_6_B,COMPANY_B-154321,COMPANY_B,3481.82,TXN Merchant_3968 BAA REF-DHK7C4PL
Merchant_1553 HVA,Travel,Uber,INR,ADJUSTMENT_82_B,COMPANY_B-772025,COMPANY_B,2590.12,TXN Merchant_1553 HVA REF-LB2V00B8
Merchant_4286 MVV,Utilities,SaaS,EUR,POS_15_B,COMPANY_B-892309,COMPANY_B,3256.65,TXN Merchant_4286 MVV REF-FI1JD13P
Merchant_2087 HYE,Travel,Electric,GBP,POS_15_B,COMPANY_B-594378,COMPANY_B,4825.5,TXN Merchant_2087 HYE REF-373328HE
Merchant_1672 TVA,Consulting,SaaS,USD,ADJUSTMENT_12_B,COMPANY_B-772025,COMPANY_B,528.38,TXN Merchant_1672 TVA REF-SHJJ3MEI
Merchant_3911 PZZ,Tech,Store,INR,TRANSFER_6_B,COMPANY_B-154321,COMPANY_B,1512.95,TXN Merchant_3911 PZZ REF-BG1NN0VT
Merchant_1084 TVR,Travel,Store,INR,FEE_52_B,COMPANY_B-384247,COMPANY_B,997.63,TXN Merchant_1084 TVR REF-XPD9P7E1
Merchant_3367 BQN,Retail,Airline,GBP,INTEREST_93_B,COMPANY_B-505132,COMPANY_B,280.61,TXN Merchant_3367 BQN REF-YFCNXW0B
Merchant_3277 FXR,Tech,SaaS,INR,WITHDRAWAL_1_B,COMPANY_B-776541,COMPANY_B,849.32,TXN Merchant_3277 FXR REF-Q3S0E1B9
Merchant_3968 BAA,Travel,Airline,USD,TRANSFER_6_B,COMPANY_B-154321,COMPANY_B,2948.23,TXN Merchant_3968 BAA REF-53UF8UI4
Merchant_1991 HLR,Travel,Airline,USD,ADJUSTMENT_5_B,COMPANY_B-154321,COMPANY_B,1396.6,TXN Merchant_1991 HLR REF-1BVL66D5
Merchant_3318 MZB,Tech,Store,EUR,BILL_58_B,COMPANY_B-219430,COMPANY_B,487.07,TXN Merchant_3318 MZB REF-NM12R9B8
Merchant_3480 KES,Retail,SaaS,INR,FEE_68_B,COMPANY_B-384247,COMPANY_B,970.29,TXN Merchant_3480 KES REF-NDIY478L
Merchant_3144 XNY,Tech,SaaS,INR,POS_15_B,COMPANY_B-495213,COMPANY_B,4163.7,TXN Merchant_3144 XNY REF-EA4AIASL
Merchant_3275 LLH,Consulting,Uber,GBP,BILL_4_B,COMPANY_B-105851,COMPANY_B,3967.33,TXN Merchant_3275 LLH REF-6LF661TY
Merchant_4794 OBJ,Food,Hotel,INR,DEPOSIT_81_B,COMPANY_B-460437,COMPANY_B,2191.95,TXN Merchant_4794 OBJ REF-GOMV8NJM
Merchant_2037 ODW,Utilities,Store,USD,WITHDRAWAL_1_B,COMPANY_B-332567,COMPANY_B,3112.93,TXN Merchant_2037 ODW REF-TCU3OZZE
