merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_4245 OXA,Retail,Airline,GBP,FEE_C,COMPANY_C-299793,COMPANY_C,3122.36,TXN Merchant_4245 OXA REF-0LB539OK
Merchant_3033 QBK,Logistics,Uber,EUR,FEE_C,COMPANY_C-792051,COMPANY_C,2356.94,TXN Merchant_3033 QBK REF-Z7MREYJ7
Merchant_4267 RSY,Tech,SaaS,GBP,TRANSFER_C,COMPANY_C-585514,COMPANY_C,2095.38,TXN Merchant_4267 RSY REF-EQPIHGBQ
Merchant_3201 WRW,Consulting,Airline,INR,BILL_C,COMPANY_C-700041,COMPANY_C,3372.73,TXN Merchant_3201 WRW REF-J6SEBQWG
Merchant_2433 OBK,Consulting,Store,GBP,TRANSFER_C,COMPANY_C-195842,COMPANY_C,3682.92,TXN Merchant_2433 OBK REF-N0BN4FDP
Merchant_3169 KPN,Food,Uber,USD,FEE_C,COMPANY_C-448546,COMPANY_C,1502.97,TXN Merchant_3169 KPN REF-5MSRACDR
Merchant_4586 YHO,Tech,Airline,INR,BILL_C,COMPANY_C-375625,COMPANY_C,2123.06,TXN Merchant_4586 YHO REF-BKUNE31I
Merchant_1132 MHS,Retail,Hotel,GBP,TRANSFER_C,COMPANY_C-503183,COMPANY_C,4335.43,TXN Merchant_1132 MHS REF-3IOCX3QR
Merchant_1622 MZM,Utilities,Airline,INR,FEE_C,COMPANY_C-792051,COMPANY_C,1645.63,TXN Merchant_1622 MZM REF-P7TO2QAB
Merchant_2208 RDO,Food,Cafe,GBP,POS_C,COMPANY_C-513447,COMPANY_C,397.03,TXN Merchant_2208 RDO REF-3D6P973S
Merchant_433 XZA,Retail,Store,USD,BILL_C,COMPANY_C-375625,COMPANY_C,636.55,TXN Merchant_433 XZA REF-T7H17GMY
Merchant_180 UWG,Consulting,Cafe,USD,TRANSFER_C,COMPANY_C-503183,COMPANY_C,2628.07,TXN Merchant_180 UWG REF-2Y0MH8A7
Merchant_430 BTW,Logistics,Hotel,INR,BILL_C,COMPANY_C-561903,COMPANY_C,3401.82,TXN Merchant_430 BTW REF-0NYQY7QE
