merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_248 KGH,Tech,Store,EUR,ONLINE_83_C,COMPANY_C-725545,COMPANY_C,227.35,TXN Merchant_248 KGH REF-QSBDDMRT
Merchant_4321 JVU,Tech,Uber,INR,WITHDRAWAL_14_C,COMPANY_C-892494,COMPANY_C,1675.67,TXN Merchant_4321 JVU REF-N561BQCT
Merchant_3329 GVE,Consulting,SaaS,USD,ONLINE_31_C,COMPANY_C-684073,COMPANY_C,236.84,TXN Merchant_3329 GVE REF-E24809NW
Merchant_3760 ZFA,Tech,Uber,INR,REFUND_28_C,COMPANY_C-608678,COMPANY_C,2371.62,TXN Merchant_3760 ZFA REF-U59I1DKW
Merchant_1958 KDN,Tech,Uber,INR,REFUND_11_C,COMPANY_C-160189,COMPANY_C,1135.07,TXN Merchant_1958 KDN REF-CYEIL2RK
Merchant_3925 RLT,Consulting,SaaS,INR,INTEREST_54_C,COMPANY_C-160189,COMPANY_C,3066.5,TXN Merchant_3925 RLT REF-SASK1VPH
Merchant_3925 RLT,Consulting,SaaS,INR,INTEREST_54_C,COMPANY_C-160189,COMPANY_C,4129.82,TXN Merchant_3925 RLT REF-UW0MQ4M0
Merchant_3570 GYD,Retail,Electric,GBP,INTEREST_54_C,COMPANY_C-160189,COMPANY_C,1451.81,TXN Merchant_3570 GYD REF-AGW0GBBO
Merchant_2102 KPN,Food,Uber,USD,BILL_96_C,COMPANY_C-684073,COMPANY_C,1741.58,TXN Merchant_2102 KPN REF-BLMY1EJE
Merchant_1006 WHE,Utilities,Hotel,INR,INTEREST_47_C,COMPANY_C-132039,COMPANY_C,2489.22,TXN Merchant_1006 WHE REF-SP47A182
Merchant_3601 AKU,Food,Cafe,INR,REFUND_11_C,COMPANY_C-132039,COMPANY_C,3454.1,TXN Merchant_3601 AKU REF-KVTUGUQ8
Merchant_637 ZAQ,Tech,SaaS,EUR,BILL_96_C,COMPANY_C-142907,COMPANY_C,1218.48,TXN Merchant_637 ZAQ REF-LRS3APUZ
Merchant_870 RQT,Utilities,Uber,INR,ONLINE_83_C,COMPANY_C-740502,COMPANY_C,2742.46,TXN Merchant_870 RQT REF-3T7JOWR9
Merchant_687 RDK,Food,Cafe,GBP,REFUND_11_C,COMPANY_C-361663,COMPANY_C,3859.61,TXN Merchant_687 RDK REF-MXA5Q5A0
Merchant_3328 NHV,Travel,Cafe,EUR,ADJUSTMENT_26_C,COMPANY_C-994015,COMPANY_C,3459.82,TXN Merchant_3328 NHV REF-R206GX6N
