merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_2539 EVW,Travel,Cafe,USD,BILL_D,COMPANY_D-665125,COMPANY_D,4383.51,TXN Merchant_2539 EVW REF-MF48APQW
Merchant_3873 KNG,Consulting,SaaS,INR,ONLINE_D,COMPANY_D-541660,COMPANY_D,4951.8,TXN Merchant_3873 KNG REF-2AO1LYCQ
Merchant_3945 CFH,Utilities,Airline,INR,ONLINE_D,COMPANY_D-299634,COMPANY_D,1916.01,TXN Merchant_3945 CFH REF-AMNYWOU8
Merchant_253 PUS,Tech,SaaS,GBP,BILL_D,COMPANY_D-752717,COMPANY_D,1913.49,TXN Merchant_253 PUS REF-GD93WPHH
Merchant_1830 NDM,Tech,Hotel,INR,BILL_D,COMPANY_D-100769,COMPANY_D,1260.77,TXN Merchant_1830 NDM REF-BH2DA2W1
Merchant_1651 YAY,Consulting,Uber,GBP,ONLINE_D,COMPANY_D-299634,COMPANY_D,2703.82,TXN Merchant_1651 YAY REF-IEPIS8QB
Merchant_271 GLA,Logistics,Hotel,INR,ONLINE_D,COMPANY_D-299634,COMPANY_D,513.97,TXN Merchant_271 GLA REF-617326P5
Merchant_602 MCG,Logistics,Uber,GBP,ONLINE_D,COMPANY_D-651573,COMPANY_D,2918.35,TXN Merchant_602 MCG REF-CY74Z4VE
Merchant_1332 HZL,Logistics,Hotel,GBP,TRANSFER_D,COMPANY_D-760040,COMPANY_D,897.36,TXN Merchant_1332 HZL REF-NFWESX1V
Merchant_2125 XPP,Tech,Uber,GBP,ONLINE_D,COMPANY_D-356713,COMPANY_D,27.61,TXN Merchant_2125 XPP REF-5JS2UPM1
Merchant_1214 YOZ,Tech,SaaS,INR,TRANSFER_D,COMPANY_D-339613,COMPANY_D,178.32,TXN Merchant_1214 YOZ REF-SVVCV95Z
Merchant_1639 RUL,Retail,Store,INR,BILL_D,COMPANY_D-665125,COMPANY_D,2235.7,TXN Merchant_1639 RUL REF-VN21X4IG
Merchant_1815 GAN,Logistics,Electric,EUR,BILL_D,COMPANY_D-880464,COMPANY_D,3658.28,TXN Merchant_1815 GAN REF-IITV0OXO
Merchant_3543 CVQ,Tech,Store,GBP,TRANSFER_D,COMPANY_D-989354,COMPANY_D,1909.5,TXN Merchant_3543 CVQ REF-CVYQYTQD
Merchant_763 MVS,Logistics,Store,EUR,BILL_D,COMPANY_D-761372,COMPANY_D,4335.04,TXN Merchant_763 MVS REF-HTK3629J
Merchant_2507 BKJ,Tech,Uber,INR,BILL_D,COMPANY_D-187054,COMPANY_D,2082.46,TXN Merchant_2507 BKJ REF-I6B9JRYP
Merchant_3636 UFA,Logistics,Uber,USD,BILL_D,COMPANY_D-187054,COMPANY_D,4951.91,TXN Merchant_3636 UFA REF-MLBT6EVR
Merchant_1651 YAY,Consulting,Uber,GBP,ONLINE_D,COMPANY_D-299634,COMPANY_D,4118.1,TXN Merchant_1651 YAY REF-C5PAYVSM
Merchant_1615 ASL,Tech,Cafe,GBP,TRANSFER_D,COMPANY_D-234960,COMPANY_D,3555.86,TXN Merchant_1615 ASL REF-W331UY6O
Merchant_2835 FXC,Logistics,Cafe,GBP,ONLINE_D,COMPANY_D-283446,COMPANY_D,3622.72,TXN Merchant_2835 FXC REF-QVM3DB3W
Merchant_1028 RWW,Food,Electric,GBP,BILL_D,COMPANY_D-665125,COMPANY_D,1025.95,TXN Merchant_1028 RWW REF-9MK5SZMX
Merchant_2281 DVV,Food,Electric,USD,BILL_D,COMPANY_D-747696,COMPANY_D,3895.14,TXN Merchant_2281 DVV REF-1OHUBXDS
Merchant_3448 HXG,Utilities,SaaS,GBP,ONLINE_D,COMPANY_D-527344,COMPANY_D,1934.82,TXN Merchant_3448 HXG REF-Z6OHBEZM
Merchant_4912 YXH,Retail,SaaS,EUR,FEE_D,COMPANY_D-651014,COMPANY_D,1417.22,TXN Merchant_4912 YXH REF-CIDTVN0C
Merchant_323 VFE,Utilities,Store,GBP,BILL_D,COMPANY_D-747696,COMPANY_D,3634.91,TXN Merchant_323 VFE REF-X1BMZC07
Merchant_1571 DDO,Tech,Uber,GBP,TRANSFER_D,COMPANY_D-339613,COMPANY_D,1954.86,TXN Merchant_1571 DDO REF-VETQC38D
Merchant_2190 IZJ,Travel,Uber,INR,ONLINE_D,COMPANY_D-283446,COMPANY_D,135.78,TXN Merchant_2190 IZJ REF-G18U5EXF
Merchant_1819 LOK,Logistics,Cafe,GBP,BILL_D,COMPANY_D-187054,COMPANY_D,3730.53,TXN Merchant_1819 LOK REF-JJUQFA21
Merchant_1819 LOK,Logistics,Cafe,GBP,BILL_D,COMPANY_D-187054,COMPANY_D,3308.86,TXN Merchant_1819 LOK REF-2G5KQH6R
Merchant_1758 REH,Retail,Store,GBP,BILL_D,COMPANY_D-747696,COMPANY_D,1700.33,TXN Merchant_1758 REH REF-4UGX9ZS3
Merchant_3114 CMR,Travel,Uber,USD,TRANSFER_D,COMPANY_D-723840,COMPANY_D,3323.3,TXN Merchant_3114 CMR REF-1NYTY1V8
Merchant_4128 WKE,Utilities,Electric,EUR,TRANSFER_D,COMPANY_D-760040,COMPANY_D,4819.78,TXN Merchant_4128 WKE REF-NBLAMADF
Merchant_815 IRU,Retail,Electric,INR,POS_D,COMPANY_D-687946,COMPANY_D,4499.9,TXN Merchant_815 IRU REF-Y7MWXIPD
Merchant_1606 MQM,Consulting,SaaS,USD,FEE_D,COMPANY_D-564801,COMPANY_D,3264.75,TXN Merchant_1606 MQM REF-W8Z22DC9
Merchant_3156 VWE,Utilities,Electric,INR,TRANSFER_D,COMPANY_D-339613,COMPANY_D,3252.78,TXN Merchant_3156 VWE REF-C1YAPT0A
Merchant_837 CNM,Food,Hotel,EUR,TRANSFER_D,COMPANY_D-723840,COMPANY_D,3624.04,TXN Merchant_837 CNM REF-KD95UKGC
Merchant_4565 MKH,Tech,Hotel,EUR,BILL_D,COMPANY_D-747696,COMPANY_D,4908.66,TXN Merchant_4565 MKH REF-UX82T5OA
Merchant_1176 JTC,Retail,Hotel,GBP,TRANSFER_D,COMPANY_D-339613,COMPANY_D,372.22,TXN Merchant_1176 JTC REF-H4C6X8PS
Merchant_4789 AXQ,Retail,Store,INR,POS_D,COMPANY_D-687946,COMPANY_D,3930.07,TXN Merchant_4789 AXQ REF-34RSKMTQ
Merchant_4613 RTQ,Consulting,Uber,GBP,BILL_D,COMPANY_D-634373,COMPANY_D,2104.94,TXN Merchant_4613 RTQ REF-KHGVMD80
Merchant_662 ULQ,Logistics,Electric,GBP,POS_D,COMPANY_D-238724,COMPANY_D,3154.27,TXN Merchant_662 ULQ REF-KFJXFBA5
Merchant_452 FZD,Travel,Airline,INR,BILL_D,COMPANY_D-665125,COMPANY_D,3360.55,TXN Merchant_452 FZD REF-HCRA8YHL
Merchant_3764 KUD,Logistics,Hotel,USD,ONLINE_D,COMPANY_D-541660,COMPANY_D,4977.87,TXN Merchant_3764 KUD REF-4EIDFY32
Merchant_4215 BEJ,Retail,Uber,INR,ONLINE_D,COMPANY_D-283446,COMPANY_D,4993.37,TXN Merchant_4215 BEJ REF-A46XBU24
Merchant_3048 PIF,Logistics,Cafe,GBP,ONLINE_D,COMPANY_D-765879,COMPANY_D,1366.43,TXN Merchant_3048 PIF REF-CF6DKVHW
Merchant_2308 QPL,Retail,Airline,GBP,BILL_D,COMPANY_D-752717,COMPANY_D,4874.59,TXN Merchant_2308 QPL REF-0A23ODLO
Merchant_413 QVK,Consulting,Uber,INR,BILL_D,COMPANY_D-747696,COMPANY_D,2546.16,TXN Merchant_413 QVK REF-64IA645K
Merchant_1206 VMH,Consulting,Hotel,USD,BILL_D,COMPANY_D-634373,COMPANY_D,4530.56,TXN Merchant_1206 VMH REF-FTUPWVS0
Merchant_1248 VNW,Retail,Uber,USD,TRANSFER_D,COMPANY_D-955144,COMPANY_D,2790.98,TXN Merchant_1248 VNW REF-WQJG25YO
Merchant_2679 KPM,Logistics,SaaS,GBP,TRANSFER_D,COMPANY_D-989354,COMPANY_D,4308.57,TXN Merchant_2679 KPM REF-NVZYAS2B
Merchant_3972 YET,Consulting,Cafe,EUR,TRANSFER_D,COMPANY_D-234960,COMPANY_D,4899.99,TXN Merchant_3972 YET REF-NZO4PFK6
Merchant_3543 CVQ,Tech,Store,GBP,TRANSFER_D,COMPANY_D-989354,COMPANY_D,2216.86,TXN Merchant_3543 CVQ REF-ABOOVV7K
Merchant_328 MQA,Tech,Hotel,INR,BILL_D,COMPANY_D-747696,COMPANY_D,1530.05,TXN Merchant_328 MQA REF-FAMBP6U7
Merchant_1974 LBN,Retail,Airline,INR,ONLINE_D,COMPANY_D-704154,COMPANY_D,2382.06,TXN Merchant_1974 LBN REF-A6NR2A9R
Merchant_1206 VMH,Consulting,Hotel,USD,BILL_D,COMPANY_D-634373,COMPANY_D,1440.49,TXN Merchant_1206 VMH REF-WQEEB8YW
Merchant_170 GEN,Consulting,Electric,GBP,TRANSFER_D,COMPANY_D-755345,COMPANY_D,2711.87,TXN Merchant_170 GEN REF-CK3WMKW7
Merchant_2991 HUA,Food,Cafe,GBP,BILL_D,COMPANY_D-752717,COMPANY_D,2363.97,TXN Merchant_2991 HUA REF-O9QKSYCP
Merchant_4205 TRV,Food,Store,GBP,POS_D,COMPANY_D-687946,COMPANY_D,3867.57,TXN Merchant_4205 TRV REF-3RS2VST5
Merchant_2532 KJY,Food,Airline,USD,POS_D,COMPANY_D-435367,COMPANY_D,4497.59,TXN Merchant_2532 KJY REF-3UFWWSNG
Merchant_4873 NRE,Food,Uber,INR,BILL_D,COMPANY_D-100769,COMPANY_D,1788.74,TXN Merchant_4873 NRE REF-3SGU31SN
Merchant_1143 END,Utilities,Cafe,USD,BILL_D,COMPANY_D-938109,COMPANY_D,3183.59,TXN Merchant_1143 END REF-8Z5BTN3Z
Merchant_2306 GSW,Utilities,Store,GBP,FEE_D,COMPANY_D-898202,COMPANY_D,1424.33,TXN Merchant_2306 GSW REF-UVJNJ209
Merchant_1815 GAN,Logistics,Electric,EUR,BILL_D,COMPANY_D-880464,COMPANY_D,195.14,TXN Merchant_1815 GAN REF-SVTV2XEB
Merchant_602 MCG,Logistics,Uber,GBP,ONLINE_D,COMPANY_D-651573,COMPANY_D,395.57,TXN Merchant_602 MCG REF-UMYD5VRX
Merchant_328 MQA,Tech,Hotel,INR,BILL_D,COMPANY_D-747696,COMPANY_D,1931.02,TXN Merchant_328 MQA REF-RK9OFCXK
Merchant_3869 ZQL,Tech,Airline,USD,TRANSFER_D,COMPANY_D-117294,COMPANY_D,85.43,TXN Merchant_3869 ZQL REF-AKDG7DLE
Merchant_3573 OCS,Logistics,Cafe,EUR,TRANSFER_D,COMPANY_D-117294,COMPANY_D,3220.92,TXN Merchant_3573 OCS REF-OVW5LD74
Merchant_323 VFE,Utilities,Store,GBP,BILL_D,COMPANY_D-747696,COMPANY_D,3069.16,TXN Merchant_323 VFE REF-E5ZVC104
Merchant_1651 YAY,Consulting,Uber,GBP,ONLINE_D,COMPANY_D-299634,COMPANY_D,72.38,TXN Merchant_1651 YAY REF-J1DWI4HO
Merchant_2281 DVV,Food,Electric,USD,BILL_D,COMPANY_D-747696,COMPANY_D,1610.95,TXN Merchant_2281 DVV REF-MVHVIINH
Merchant_1742 XRY,Consulting,Store,EUR,FEE_D,COMPANY_D-651014,COMPANY_D,275.05,TXN Merchant_1742 XRY REF-CJWZEG06
Merchant_271 GLA,Logistics,Hotel,INR,ONLINE_D,COMPANY_D-299634,COMPANY_D,4447.92,TXN Merchant_271 GLA REF-TFTXTJ1E
Merchant_1206 VMH,Consulting,Hotel,USD,BILL_D,COMPANY_D-634373,COMPANY_D,3549.06,TXN Merchant_1206 VMH REF-KK9ED16Z
Merchant_271 GLA,Logistics,Hotel,INR,ONLINE_D,COMPANY_D-299634,COMPANY_D,2636.2,TXN Merchant_271 GLA REF-Y7MZMG1J
Merchant_2547 VPL,Logistics,Uber,USD,TRANSFER_D,COMPANY_D-670358,COMPANY_D,253.14,TXN Merchant_2547 VPL REF-55D8B2JH
Merchant_4943 VLE,Food,Cafe,EUR,ONLINE_D,COMPANY_D-356713,COMPANY_D,2206.46,TXN Merchant_4943 VLE REF-MCQ9I8IQ
Merchant_1347 EQS,Travel,SaaS,USD,TRANSFER_D,COMPANY_D-339613,COMPANY_D,2904.78,TXN Merchant_1347 EQS REF-IZWQL60L
Merchant_4333 PFK,Logistics,Hotel,EUR,FEE_D,COMPANY_D-898202,COMPANY_D,1468.97,TXN Merchant_4333 PFK REF-IVHCTYTU
Merchant_2507 BKJ,Tech,Uber,INR,BILL_D,COMPANY_D-187054,COMPANY_D,3007.65,TXN Merchant_2507 BKJ REF-26YC4BWR
Merchant_1631 FIU,Utilities,Store,INR,BILL_D,COMPANY_D-752717,COMPANY_D,263.42,TXN Merchant_1631 FIU REF-KSXYHENG
Merchant_1143 END,Utilities,Cafe,USD,BILL_D,COMPANY_D-938109,COMPANY_D,2375.09,TXN Merchant_1143 END REF-YY8V4NVI
Merchant_328 MQA,Tech,Hotel,INR,BILL_D,COMPANY_D-747696,COMPANY_D,3150.66,TXN Merchant_328 MQA REF-77V4TIVG
Merchant_1742 XRY,Consulting,Store,EUR,FEE_D,COMPANY_D-651014,COMPANY_D,1126.99,TXN Merchant_1742 XRY REF-M0IMI84J
Merchant_74 DKD,Tech,Electric,GBP,FEE_D,COMPANY_D-945861,COMPANY_D,579.66,TXN Merchant_74 DKD REF-ZQBFUOAY
Merchant_800 ESU,Tech,SaaS,EUR,TRANSFER_D,COMPANY_D-723840,COMPANY_D,2676.58,TXN Merchant_800 ESU REF-I0OONCU8
Merchant_1606 MQM,Consulting,SaaS,USD,FEE_D,COMPANY_D-564801,COMPANY_D,617.64,TXN Merchant_1606 MQM REF-R5EZSGET
Merchant_3300 EFI,Food,Hotel,INR,TRANSFER_D,COMPANY_D-117294,COMPANY_D,1951.39,TXN Merchant_3300 EFI REF-7ZAU2YGO
Merchant_3156 VWE,Utilities,Electric,INR,TRANSFER_D,COMPANY_D-339613,COMPANY_D,867.25,TXN Merchant_3156 VWE REF-GLMGBVYW
Merchant_2117 RJW,Tech,Airline,USD,BILL_D,COMPANY_D-761372,COMPANY_D,2549.14,TXN Merchant_2117 RJW REF-7LE51MAN
Merchant_1101 ASX,Consulting,Hotel,GBP,POS_D,COMPANY_D-238724,COMPANY_D,4672.87,TXN Merchant_1101 ASX REF-SE487UO3
Merchant_2736 EZT,Logistics,Store,EUR,BILL_D,COMPANY_D-829512,COMPANY_D,906.27,TXN Merchant_2736 EZT REF-185TBH2N
Merchant_3573 OCS,Logistics,Cafe,EUR,TRANSFER_D,COMPANY_D-117294,COMPANY_D,1278.22,TXN Merchant_3573 OCS REF-QZZ7HB5L
Merchant_2346 UXY,Utilities,Uber,GBP,TRANSFER_D,COMPANY_D-760040,COMPANY_D,50.08,TXN Merchant_2346 UXY REF-CVNYWNVU
Merchant_1534 ETK,Food,Cafe,INR,TRANSFER_D,COMPANY_D-955144,COMPANY_D,2911.31,TXN Merchant_1534 ETK REF-4NES0Y1I
Merchant_837 CNM,Food,Hotel,EUR,TRANSFER_D,COMPANY_D-723840,COMPANY_D,1178.05,TXN Merchant_837 CNM REF-HUE9Q9Q3
Merchant_4059 BSD,Consulting,Cafe,USD,BILL_D,COMPANY_D-880464,COMPANY_D,4571.37,TXN Merchant_4059 BSD REF-NHVN4P6S
Merchant_4956 IKC,Tech,Cafe,INR,ONLINE_D,COMPANY_D-651573,COMPANY_D,3426.97,TXN Merchant_4956 IKC REF-ZT1PLOOE
Merchant_1830 NDM,Tech,Hotel,INR,BILL_D,COMPANY_D-100769,COMPANY_D,408.32,TXN Merchant_1830 NDM REF-3WUQCZZT
Merchant_4333 PFK,Logistics,Hotel,EUR,FEE_D,COMPANY_D-898202,COMPANY_D,285.99,TXN Merchant_4333 PFK REF-GEGHX6OI
Merchant_2190 IZJ,Travel,Uber,INR,ONLINE_D,COMPANY_D-283446,COMPANY_D,1234.48,TXN Merchant_2190 IZJ REF-7X9NR7NQ
Merchant_253 PUS,Tech,SaaS,GBP,BILL_D,COMPANY_D-752717,COMPANY_D,2501.81,TXN Merchant_253 PUS REF-3DSQYHDF
Merchant_214 FMJ,Tech,Airline,INR,BILL_D,COMPANY_D-427936,COMPANY_D,4158.49,TXN Merchant_214 FMJ REF-H5OVEV15
Merchant_4333 PFK,Logistics,Hotel,EUR,FEE_D,COMPANY_D-898202,COMPANY_D,944.41,TXN Merchant_4333 PFK REF-WD4UVZQE
Merchant_4333 PFK,Logistics,Hotel,EUR,FEE_D,COMPANY_D-898202,COMPANY_D,1614.85,TXN Merchant_4333 PFK REF-Y60KROS9
Merchant_1206 VMH,Consulting,Hotel,USD,BILL_D,COMPANY_D-634373,COMPANY_D,1882.86,TXN Merchant_1206 VMH REF-ZBE8GM7I
Merchant_3495 YPL,Consulting,Airline,GBP,BILL_D,COMPANY_D-427936,COMPANY_D,3044.17,TXN Merchant_3495 YPL REF-I8YM6Q8D
Merchant_214 FMJ,Tech,Airline,INR,BILL_D,COMPANY_D-427936,COMPANY_D,2202.91,TXN Merchant_214 FMJ REF-0JT7A5O2
Merchant_579 VLH,Utilities,Uber,INR,FEE_D,COMPANY_D-564801,COMPANY_D,617.62,TXN Merchant_579 VLH REF-TBJ35DXX
Merchant_3070 QFI,Tech,SaaS,EUR,TRANSFER_D,COMPANY_D-117294,COMPANY_D,1327.83,TXN Merchant_3070 QFI REF-K80RH7RE
Merchant_3945 CFH,Utilities,Airline,INR,ONLINE_D,COMPANY_D-299634,COMPANY_D,2618.68,TXN Merchant_3945 CFH REF-0RR2P6VN
