merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_80 UFA,Logistics,Uber,USD,POS_75_D,COMPANY_D-771131,COMPANY_D,2102.84,TXN Merchant_80 UFA REF-MID1PGOG
Merchant_1021 RZZ,Retail,Airline,INR,INTEREST_40_D,COMPANY_D-881878,COMPANY_D,1815.47,TXN Merchant_1021 RZZ REF-SB4OKAEW
Merchant_269 SHE,Tech,SaaS,GBP,POS_7_D,COMPANY_D-149397,COMPANY_D,3087.2,TXN Merchant_269 SHE REF-QUGSMPZQ
Merchant_1478 LQJ,Retail,Airline,USD,REFUND_87_D,COMPANY_D-881878,COMPANY_D,1688.02,TXN Merchant_1478 LQJ REF-LJULLR2D
Merchant_3498 TDH,Retail,Store,GBP,POS_7_D,COMPANY_D-149397,COMPANY_D,4108.91,TXN Merchant_3498 TDH REF-EVETQC38
Merchant_3704 VLE,Food,Cafe,EUR,DEPOSIT_55_D,COMPANY_D-957294,COMPANY_D,4265.21,TXN Merchant_3704 VLE REF-0G18U5EX
Merchant_633 KNG,Consulting,SaaS,INR,POS_7_D,COMPANY_D-149397,COMPANY_D,3325.94,TXN Merchant_633 KNG REF-QJJUQFA2
Merchant_3308 QGI,Logistics,Uber,USD,DEPOSIT_55_D,COMPANY_D-957294,COMPANY_D,4918.04,TXN Merchant_3308 QGI REF-MY0NWMF6
Merchant_3011 KIM,Tech,Hotel,EUR,DEPOSIT_55_D,COMPANY_D-947088,COMPANY_D,3851.76,TXN Merchant_3011 KIM REF-ICCM177A
Merchant_2952 HZL,Logistics,Hotel,GBP,REFUND_11_D,COMPANY_D-105962,COMPANY_D,472.9,TXN Merchant_2952 HZL REF-T218MCHM
Merchant_2720 MWF,Consulting,SaaS,EUR,ONLINE_77_D,COMPANY_D-199094,COMPANY_D,4413.72,TXN Merchant_2720 MWF REF-87XSUZ8H
Merchant_3723 XPP,Tech,Uber,GBP,DEPOSIT_55_D,COMPANY_D-957294,COMPANY_D,1880.63,TXN Merchant_3723 XPP REF-FEKCKUO6
Merchant_4191 REH,Retail,Store,GBP,ONLINE_77_D,COMPANY_D-893826,COMPANY_D,3610.91,TXN Merchant_4191 REH REF-DKOX9OYT
Merchant_821 MID,Tech,Electric,USD,DEPOSIT_42_D,COMPANY_D-893826,COMPANY_D,1786.75,TXN Merchant_821 MID REF-93EXFU78
Merchant_3121 LMX,Tech,Uber,USD,ONLINE_77_D,COMPANY_D-947088,COMPANY_D,1732.86,TXN Merchant_3121 LMX REF-2QKD95UK
Merchant_1862 VNW,Retail,Uber,USD,FEE_26_D,COMPANY_D-149397,COMPANY_D,714.83,TXN Merchant_1862 VNW REF-EZUX82T5
Merchant_3186 MRG,Tech,Uber,USD,ONLINE_77_D,COMPANY_D-417174,COMPANY_D,784.08,TXN Merchant_3186 MRG REF-V2H4C6X8
Merchant_3455 YBO,Food,SaaS,GBP,POS_75_D,COMPANY_D-771131,COMPANY_D,2422.75,TXN Merchant_3455 YBO REF-A52C3PUX
Merchant_3193 PFK,Logistics,Hotel,EUR,INTEREST_40_D,COMPANY_D-613958,COMPANY_D,4098.27,TXN Merchant_3193 PFK REF-QVFKHGVM
Merchant_3704 VLE,Food,Cafe,EUR,DEPOSIT_55_D,COMPANY_D-957294,COMPANY_D,509.81,TXN Merchant_3704 VLE REF-3SMKFJXF
Merchant_2720 MWF,Consulting,SaaS,EUR,ONLINE_77_D,COMPANY_D-199094,COMPANY_D,2979.41,TXN Merchant_2720 MWF REF-38OHCRA8
Merchant_3268 JEJ,Retail,Uber,INR,TRANSFER_18_D,COMPANY_D-535134,COMPANY_D,2452.4,TXN Merchant_3268 JEJ REF-L95D7R21
Merchant_2830 HVB,Travel,Uber,EUR,ONLINE_77_D,COMPANY_D-417174,COMPANY_D,556.33,TXN Merchant_2830 HVB REF-2M29QJ2B
Merchant_1291 IRU,Retail,Electric,INR,REFUND_49_D,COMPANY_D-690736,COMPANY_D,292.97,TXN Merchant_1291 IRU REF-4P3995D5
Merchant_2039 VXR,Tech,Cafe,GBP,FEE_26_D,COMPANY_D-957294,COMPANY_D,2501.86,TXN Merchant_2039 VXR REF-W6MG9OAI
Merchant_3538 QTF,Consulting,Airline,INR,FEE_26_D,COMPANY_D-957294,COMPANY_D,3044.95,TXN Merchant_3538 QTF REF-OHUZMVBI
Merchant_3952 VYW,Food,Uber,GBP,POS_75_D,COMPANY_D-771131,COMPANY_D,835.91,TXN Merchant_3952 VYW REF-K4MF290O
Merchant_1345 LSP,Tech,Airline,EUR,ONLINE_77_D,COMPANY_D-893826,COMPANY_D,4029.48,TXN Merchant_1345 LSP REF-0KL8FQ1G
Merchant_2114 CHZ,Tech,Store,INR,FEE_26_D,COMPANY_D-105962,COMPANY_D,4754.86,TXN Merchant_2114 CHZ REF-OJ9SWGR9
Merchant_3702 GSB,Logistics,SaaS,USD,TRANSFER_18_D,COMPANY_D-535134,COMPANY_D,319.82,TXN Merchant_3702 GSB REF-BO83Y55T
Merchant_4506 QPE,Logistics,Uber,INR,DEPOSIT_55_D,COMPANY_D-957294,COMPANY_D,2919.71,TXN Merchant_4506 QPE REF-655MSMC1
Merchant_938 VYC,Tech,Electric,USD,ONLINE_77_D,COMPANY_D-149397,COMPANY_D,2523.27,TXN Merchant_938 VYC REF-WAFAMBP6
Merchant_3363 GSW,Utilities,Store,GBP,INTEREST_40_D,COMPANY_D-613958,COMPANY_D,1004.18,TXN Merchant_3363 GSW REF-HNR5EFDJ
Merchant_4519 ULX,Retail,SaaS,USD,ONLINE_77_D,COMPANY_D-149397,COMPANY_D,3801.4,TXN Merchant_4519 ULX REF-4CAO41CI
Merchant_2415 QVK,Consulting,Uber,INR,ONLINE_77_D,COMPANY_D-893826,COMPANY_D,4467.56,TXN Merchant_2415 QVK REF-CIZLQUJR
Merchant_1239 GPC,Consulting,SaaS,USD,ONLINE_77_D,COMPANY_D-199094,COMPANY_D,1106.46,TXN Merchant_1239 GPC REF-9GX9MCVJ
Merchant_3474 NWB,Consulting,SaaS,EUR,REFUND_11_D,COMPANY_D-105962,COMPANY_D,3524.15,TXN Merchant_3474 NWB REF-RT4VU81J
Merchant_3648 EFW,Utilities,Airline,USD,BILL_14_D,COMPANY_D-992702,COMPANY_D,733.0,TXN Merchant_3648 EFW REF-U26UR3XR
Merchant_416 WSB,Food,Uber,EUR,WITHDRAWAL_2_D,COMPANY_D-479472,COMPANY_D,4459.54,TXN Merchant_416 WSB REF-FC3SGU31
Merchant_4564 MKH,Tech,Hotel,EUR,ONLINE_77_D,COMPANY_D-893826,COMPANY_D,3314.65,TXN Merchant_4564 MKH REF-IT73FX5I
Merchant_2117 JGL,Consulting,Uber,GBP,BILL_14_D,COMPANY_D-417174,COMPANY_D,4962.68,TXN Merchant_2117 JGL REF-WAUVJNJ2
Merchant_1156 QFI,Tech,SaaS,EUR,POS_7_D,COMPANY_D-199094,COMPANY_D,1787.73,TXN Merchant_1156 QFI REF-I1SVTV2X
Merchant_2965 KPM,Logistics,SaaS,GBP,DEPOSIT_42_D,COMPANY_D-893826,COMPANY_D,2058.79,TXN Merchant_2965 KPM REF-INB78Z5V
Merchant_4519 ULX,Retail,SaaS,USD,ONLINE_77_D,COMPANY_D-149397,COMPANY_D,3855.27,TXN Merchant_4519 ULX REF-XZDRK9OF
Merchant_2415 QVK,Consulting,Uber,INR,ONLINE_77_D,COMPANY_D-893826,COMPANY_D,3479.96,TXN Merchant_2415 QVK REF-WW5DII1W
Merchant_3374 YDC,Retail,Cafe,USD,BILL_14_D,COMPANY_D-992702,COMPANY_D,1847.4,TXN Merchant_3374 YDC REF-LENM2HHE
Merchant_4645 KUD,Logistics,Hotel,USD,POS_7_D,COMPANY_D-149397,COMPANY_D,1828.61,TXN Merchant_4645 KUD REF-74LNFGW4
Merchant_2764 AXQ,Retail,Store,INR,REFUND_49_D,COMPANY_D-690736,COMPANY_D,2439.56,TXN Merchant_2764 AXQ REF-2R0J1DWI
Merchant_218 JCU,Consulting,Cafe,EUR,REFUND_11_D,COMPANY_D-105962,COMPANY_D,737.23,TXN Merchant_218 JCU REF-4BBMVHVI
Merchant_357 BSD,Consulting,Cafe,USD,WITHDRAWAL_2_D,COMPANY_D-199094,COMPANY_D,4114.11,TXN Merchant_357 BSD REF-X71CJWZE
Merchant_1862 VNW,Retail,Uber,USD,FEE_26_D,COMPANY_D-149397,COMPANY_D,4542.61,TXN Merchant_1862 VNW REF-OVWTFTXT
Merchant_228 PUS,Tech,SaaS,GBP,REFUND_49_D,COMPANY_D-535134,COMPANY_D,4153.33,TXN Merchant_228 PUS REF-7F4XXKOQ
Merchant_2764 AXQ,Retail,Store,INR,REFUND_49_D,COMPANY_D-690736,COMPANY_D,450.17,TXN Merchant_2764 AXQ REF-6CIY7MZM
Merchant_1297 UOI,Logistics,Airline,GBP,INTEREST_40_D,COMPANY_D-881878,COMPANY_D,4676.91,TXN Merchant_1297 UOI REF-X7155D8B
Merchant_3981 ETK,Food,Cafe,INR,FEE_26_D,COMPANY_D-149397,COMPANY_D,1363.2,TXN Merchant_3981 ETK REF-USFMCQ9I
Merchant_2296 QQA,Tech,Airline,USD,FEE_26_D,COMPANY_D-149397,COMPANY_D,1901.58,TXN Merchant_2296 QQA REF-R0KIZWQL
Merchant_4582 VPW,Food,Airline,EUR,FEE_26_D,COMPANY_D-149397,COMPANY_D,839.31,TXN Merchant_4582 VPW REF-FEAIVHCT
Merchant_218 JCU,Consulting,Cafe,EUR,REFUND_11_D,COMPANY_D-105962,COMPANY_D,4075.52,TXN Merchant_218 JCU REF-U8YMRXBW
Merchant_3198 CVQ,Tech,Store,GBP,DEPOSIT_42_D,COMPANY_D-893826,COMPANY_D,4506.3,TXN Merchant_3198 CVQ REF-R6JOG7QV
Merchant_102 RDI,Food,SaaS,INR,BILL_14_D,COMPANY_D-992702,COMPANY_D,3314.09,TXN Merchant_102 RDI REF-GI27V4SU
Merchant_2383 BSS,Tech,Cafe,INR,TRANSFER_18_D,COMPANY_D-535134,COMPANY_D,4375.75,TXN Merchant_2383 BSS REF-I7E1PMIC
Merchant_3287 YSE,Retail,Cafe,USD,FEE_26_D,COMPANY_D-149397,COMPANY_D,4327.79,TXN Merchant_3287 YSE REF-G9YDAOJ8
Merchant_4017 END,Utilities,Cafe,USD,DEPOSIT_55_D,COMPANY_D-639746,COMPANY_D,695.81,TXN Merchant_4017 END REF-JNXFW0X1
Merchant_4450 PBR,Consulting,Electric,USD,WITHDRAWAL_2_D,COMPANY_D-479472,COMPANY_D,1474.74,TXN Merchant_4450 PBR REF-YZ2SIOEM
Merchant_3124 ONK,Logistics,Hotel,EUR,FEE_83_D,COMPANY_D-535134,COMPANY_D,1733.5,TXN Merchant_3124 ONK REF-U8LV9KG7
Merchant_1575 NRE,Food,Uber,INR,FEE_28_D,COMPANY_D-204396,COMPANY_D,2239.21,TXN Merchant_1575 NRE REF-ETQQJDD2
Merchant_2048 MVO,Retail,Airline,EUR,POS_7_D,COMPANY_D-199094,COMPANY_D,2284.18,TXN Merchant_2048 MVO REF-O3GU94FU
Merchant_3363 GSW,Utilities,Store,GBP,INTEREST_40_D,COMPANY_D-613958,COMPANY_D,4773.69,TXN Merchant_3363 GSW REF-WJ4W2PHA
Merchant_4435 GOX,Tech,Store,INR,DEPOSIT_55_D,COMPANY_D-947088,COMPANY_D,1430.66,TXN Merchant_4435 GOX REF-NIRDU8WJ
Merchant_2258 WFR,Utilities,SaaS,INR,DEPOSIT_55_D,COMPANY_D-947088,COMPANY_D,1190.88,TXN Merchant_2258 WFR REF-E6185TBH
Merchant_1239 GPC,Consulting,SaaS,USD,ONLINE_77_D,COMPANY_D-199094,COMPANY_D,3697.7,TXN Merchant_1239 GPC REF-L9QZZ7HB
Merchant_4953 XRY,Consulting,Store,EUR,INTEREST_40_D,COMPANY_D-881878,COMPANY_D,4691.24,TXN Merchant_4953 XRY REF-10CVNYWN
Merchant_2764 AXQ,Retail,Store,INR,REFUND_49_D,COMPANY_D-690736,COMPANY_D,4268.97,TXN Merchant_2764 AXQ REF-7OT58QX7
Merchant_4510 LOK,Logistics,Cafe,GBP,POS_75_D,COMPANY_D-771131,COMPANY_D,2529.12,TXN Merchant_4510 LOK REF-RM2NS5LS
Merchant_2024 WFH,Tech,Hotel,GBP,ONLINE_77_D,COMPANY_D-149397,COMPANY_D,513.95,TXN Merchant_2024 WFH REF-MCSLJNU5
Merchant_2391 USE,Tech,Hotel,USD,FEE_83_D,COMPANY_D-535134,COMPANY_D,3910.84,TXN Merchant_2391 USE REF-4F17JM6R
Merchant_1403 EZT,Logistics,Store,EUR,FEE_26_D,COMPANY_D-105962,COMPANY_D,2019.39,TXN Merchant_1403 EZT REF-W23WUQCZ
Merchant_388 UXY,Utilities,Uber,GBP,REFUND_11_D,COMPANY_D-105962,COMPANY_D,4032.41,TXN Merchant_388 UXY REF-T1GEGHX6
Merchant_3124 ONK,Logistics,Hotel,EUR,FEE_83_D,COMPANY_D-535134,COMPANY_D,4686.22,TXN Merchant_3124 ONK REF-L87X9NR7
Merchant_4880 MPE,Tech,Airline,INR,REFUND_49_D,COMPANY_D-535134,COMPANY_D,435.55,TXN Merchant_4880 MPE REF-HH3DSQYH
Merchant_2415 QVK,Consulting,Uber,INR,ONLINE_77_D,COMPANY_D-893826,COMPANY_D,3260.69,TXN Merchant_2415 QVK REF-CTH5OVEV
Merchant_884 QPL,Retail,Airline,GBP,REFUND_49_D,COMPANY_D-535134,COMPANY_D,3395.05,TXN Merchant_884 QPL REF-26WD4UVZ
Merchant_3903 CGN,Travel,SaaS,GBP,FEE_26_D,COMPANY_D-149397,COMPANY_D,4965.3,TXN Merchant_3903 CGN REF-YBY60KRO
