merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_3817 YRG,Tech,Hotel,EUR,TRANSFER_E,COMPANY_E-647438,COMPANY_E,3176.39,TXN Merchant_3817 YRG REF-P1MCKQLQ
Merchant_2685 ZEA,Food,Uber,INR,ONLINE_E,COMPANY_E-171917,COMPANY_E,1636.03,TXN Merchant_2685 ZEA REF-TR94MC61
Merchant_1884 CRX,Food,Airline,INR,FEE_E,COMPANY_E-187634,COMPANY_E,1727.95,TXN Merchant_1884 CRX REF-TB6J7EFI
Merchant_634 RCO,Utilities,Uber,INR,ONLINE_E,COMPANY_E-122700,COMPANY_E,3607.97,TXN Merchant_634 RCO REF-RDHM985I
Merchant_2895 CSK,Food,Hotel,GBP,BILL_E,COMPANY_E-993980,COMPANY_E,399.78,TXN Merchant_2895 CSK REF-QBV3I209
Merchant_340 QCY,Food,Hotel,GBP,TRANSFER_E,COMPANY_E-538106,COMPANY_E,2544.95,TXN Merchant_340 QCY REF-RCQFXJVC
Merchant_1911 BFO,Consulting,Store,GBP,BILL_E,COMPANY_E-993980,COMPANY_E,1125.77,TXN Merchant_1911 BFO REF-VWV2O1HK
Merchant_2434 ZEI,Food,SaaS,EUR,FEE_E,COMPANY_E-406720,COMPANY_E,4396.4,TXN Merchant_2434 ZEI REF-UAYOMDNQ
Merchant_4997 FWC,Tech,Electric,GBP,FEE_E,COMPANY_E-759026,COMPANY_E,2217.44,TXN Merchant_4997 FWC REF-V0AD99C2
Merchant_2878 RJZ,Consulting,Cafe,EUR,BILL_E,COMPANY_E-636993,COMPANY_E,3912.49,TXN Merchant_2878 RJZ REF-H4FXHQKQ
Merchant_843 GRW,Logistics,Electric,USD,FEE_E,COMPANY_E-592655,COMPANY_E,3171.22,TXN Merchant_843 GRW REF-TN1MHZSD
Merchant_1993 PNX,Food,Hotel,USD,FEE_E,COMPANY_E-406720,COMPANY_E,4264.07,TXN Merchant_1993 PNX REF-5JF736O1
Merchant_2741 MIY,Utilities,Uber,GBP,TRANSFER_E,COMPANY_E-647438,COMPANY_E,2419.35,TXN Merchant_2741 MIY REF-YOPXEHC5
Merchant_3451 HNO,Utilities,SaaS,EUR,BILL_E,COMPANY_E-423226,COMPANY_E,764.37,TXN Merchant_3451 HNO REF-QQ47F9B5
Merchant_300 QFC,Tech,Uber,GBP,BILL_E,COMPANY_E-662504,COMPANY_E,264.85,TXN Merchant_300 QFC REF-4O0CUWQG
Merchant_1993 PNX,Food,Hotel,USD,FEE_E,COMPANY_E-406720,COMPANY_E,1098.19,TXN Merchant_1993 PNX REF-RFVP4XPR
Merchant_1812 CDZ,Travel,Hotel,INR,BILL_E,COMPANY_E-455783,COMPANY_E,281.59,TXN Merchant_1812 CDZ REF-FJG4SFCI
Merchant_4381 CQJ,Tech,Airline,INR,POS_E,COMPANY_E-128723,COMPANY_E,2812.27,TXN Merchant_4381 CQJ REF-CCZMI21V
Merchant_4381 CQJ,Tech,Airline,INR,POS_E,COMPANY_E-128723,COMPANY_E,1057.88,TXN Merchant_4381 CQJ REF-MNIED638
Merchant_2663 HSQ,Travel,Airline,GBP,TRANSFER_E,COMPANY_E-684599,COMPANY_E,2589.58,TXN Merchant_2663 HSQ REF-FET0UBRW
Merchant_340 QCY,Food,Hotel,GBP,TRANSFER_E,COMPANY_E-538106,COMPANY_E,4036.46,TXN Merchant_340 QCY REF-UD11E7M0
Merchant_1764 NGS,Tech,Electric,GBP,POS_E,COMPANY_E-382505,COMPANY_E,3401.86,TXN Merchant_1764 NGS REF-5MNMW7LP
Merchant_4902 ALT,Utilities,Electric,GBP,FEE_E,COMPANY_E-759026,COMPANY_E,2456.73,TXN Merchant_4902 ALT REF-66FQ295D
Merchant_2984 RVQ,Logistics,Airline,GBP,POS_E,COMPANY_E-128723,COMPANY_E,1328.12,TXN Merchant_2984 RVQ REF-19LIJ8ZA
Merchant_3164 IJC,Tech,Electric,GBP,ONLINE_E,COMPANY_E-973909,COMPANY_E,537.79,TXN Merchant_3164 IJC REF-HUNB54JT
Merchant_1954 MEF,Logistics,Cafe,GBP,BILL_E,COMPANY_E-662504,COMPANY_E,459.89,TXN Merchant_1954 MEF REF-YMT6HDQC
Merchant_4578 OPN,Travel,Airline,EUR,ONLINE_E,COMPANY_E-122700,COMPANY_E,4065.6,TXN Merchant_4578 OPN REF-YCRTY5V9
Merchant_619 NTU,Consulting,Hotel,GBP,BILL_E,COMPANY_E-423226,COMPANY_E,1792.87,TXN Merchant_619 NTU REF-BDAKLYMN
Merchant_630 NIY,Tech,Airline,INR,ONLINE_E,COMPANY_E-760261,COMPANY_E,4604.9,TXN Merchant_630 NIY REF-BIOSIG5F
Merchant_340 QCY,Food,Hotel,GBP,TRANSFER_E,COMPANY_E-538106,COMPANY_E,1579.13,TXN Merchant_340 QCY REF-C5AO2V4J
Merchant_854 PXK,Consulting,SaaS,INR,POS_E,COMPANY_E-176423,COMPANY_E,2777.64,TXN Merchant_854 PXK REF-WANFNI66
Merchant_1993 PNX,Food,Hotel,USD,FEE_E,COMPANY_E-406720,COMPANY_E,4173.15,TXN Merchant_1993 PNX REF-LL0QWM9B
Merchant_2684 ADV,Logistics,Cafe,USD,ONLINE_E,COMPANY_E-188862,COMPANY_E,4250.51,TXN Merchant_2684 ADV REF-CNKYD879
Merchant_357 WBU,Logistics,Cafe,GBP,POS_E,COMPANY_E-916920,COMPANY_E,3473.26,TXN Merchant_357 WBU REF-5XIQQMCM
Merchant_420 PUX,Travel,Airline,INR,TRANSFER_E,COMPANY_E-154665,COMPANY_E,3486.09,TXN Merchant_420 PUX REF-6YAFNCNI
Merchant_4517 OPP,Utilities,Electric,USD,BILL_E,COMPANY_E-126218,COMPANY_E,4948.39,TXN Merchant_4517 OPP REF-DCTHFX4O
Merchant_2086 PNP,Retail,Electric,USD,FEE_E,COMPANY_E-292607,COMPANY_E,3597.44,TXN Merchant_2086 PNP REF-DVUQMIFQ
Merchant_3907 YVT,Logistics,Store,USD,ONLINE_E,COMPANY_E-188862,COMPANY_E,4448.29,TXN Merchant_3907 YVT REF-PIGWVKZW
Merchant_4591 SQK,Travel,Airline,USD,FEE_E,COMPANY_E-292607,COMPANY_E,1433.99,TXN Merchant_4591 SQK REF-Z0FQEVON
Merchant_2684 ADV,Logistics,Cafe,USD,ONLINE_E,COMPANY_E-188862,COMPANY_E,1796.64,TXN Merchant_2684 ADV REF-1XUXO2F5
Merchant_840 WLC,Logistics,Cafe,USD,TRANSFER_E,COMPANY_E-684599,COMPANY_E,4101.36,TXN Merchant_840 WLC REF-QBK2WQ2R
Merchant_4814 QUQ,Travel,SaaS,GBP,POS_E,COMPANY_E-128723,COMPANY_E,1191.27,TXN Merchant_4814 QUQ REF-0O9BYW5P
Merchant_4630 DJS,Utilities,SaaS,GBP,FEE_E,COMPANY_E-759026,COMPANY_E,138.82,TXN Merchant_4630 DJS REF-ZP1IONQ6
Merchant_350 YND,Retail,Cafe,EUR,ONLINE_E,COMPANY_E-122700,COMPANY_E,1556.41,TXN Merchant_350 YND REF-IIRXRR8L
Merchant_4530 BRW,Retail,Electric,INR,BILL_E,COMPANY_E-636993,COMPANY_E,2094.53,TXN Merchant_4530 BRW REF-IRZM6NEA
Merchant_1354 DGH,Consulting,Airline,INR,TRANSFER_E,COMPANY_E-154665,COMPANY_E,2210.26,TXN Merchant_1354 DGH REF-E2NNKVMP
Merchant_4381 CQJ,Tech,Airline,INR,POS_E,COMPANY_E-128723,COMPANY_E,276.64,TXN Merchant_4381 CQJ REF-3RM8IC90
Merchant_3684 XLJ,Travel,Hotel,GBP,BILL_E,COMPANY_E-486672,COMPANY_E,4995.57,TXN Merchant_3684 XLJ REF-B0MYUMN1
Merchant_2756 HIS,Consulting,Airline,INR,TRANSFER_E,COMPANY_E-538106,COMPANY_E,3601.06,TXN Merchant_2756 HIS REF-BMQQDSV0
Merchant_2947 QSU,Logistics,Cafe,EUR,ONLINE_E,COMPANY_E-171917,COMPANY_E,2310.13,TXN Merchant_2947 QSU REF-YC6B9Z4W
Merchant_2032 MPF,Food,SaaS,EUR,ONLINE_E,COMPANY_E-574781,COMPANY_E,3610.55,TXN Merchant_2032 MPF REF-BIUZ3B36
Merchant_2251 PLY,Tech,Uber,GBP,ONLINE_E,COMPANY_E-171917,COMPANY_E,2076.57,TXN Merchant_2251 PLY REF-N0KPKZCM
Merchant_237 QGJ,Logistics,Hotel,GBP,BILL_E,COMPANY_E-753859,COMPANY_E,3144.93,TXN Merchant_237 QGJ REF-EJ2OF91G
Merchant_504 UFI,Tech,Electric,GBP,BILL_E,COMPANY_E-662504,COMPANY_E,2432.07,TXN Merchant_504 UFI REF-1HWFTV5U
Merchant_237 QGJ,Logistics,Hotel,GBP,BILL_E,COMPANY_E-753859,COMPANY_E,1485.83,TXN Merchant_237 QGJ REF-2GUBTAKV
Merchant_1279 BCC,Travel,Electric,GBP,ONLINE_E,COMPANY_E-122700,COMPANY_E,603.07,TXN Merchant_1279 BCC REF-F389RA62
Merchant_4718 GYZ,Travel,SaaS,EUR,TRANSFER_E,COMPANY_E-536687,COMPANY_E,360.76,TXN Merchant_4718 GYZ REF-7CWOFYHM
