merchant_name,merchant_group,merchant_category,currency,cc_type,cc_code,company_id,amount,description
Merchant_3503 MIY,Utilities,Uber,GBP,POS_65_E,COMPANY_E-325340,COMPANY_E,1790.43,TXN Merchant_3503 MIY REF-OTTYCRTY
Merchant_4922 XSP,Logistics,Uber,GBP,TRANSFER_86_E,COMPANY_E-684943,COMPANY_E,1593.5,TXN Merchant_4922 XSP REF-TPGKG6T6
Merchant_2239 DGA,Food,Electric,EUR,BILL_92_E,COMPANY_E-758793,COMPANY_E,4730.12,TXN Merchant_2239 DGA REF-MNIG6KV6
Merchant_2210 LBV,Tech,Hotel,EUR,WITHDRAWAL_12_E,COMPANY_E-261508,COMPANY_E,2231.61,TXN Merchant_2210 LBV REF-5F9J4ZT8
Merchant_1301 TZW,Retail,SaaS,GBP,TRANSFER_86_E,COMPANY_E-351203,COMPANY_E,4369.05,TXN Merchant_1301 TZW REF-4JQIIOY3
Merchant_3813 BAH,Travel,Electric,USD,TRANSFER_86_E,COMPANY_E-493268,COMPANY_E,2608.49,TXN Merchant_3813 BAH REF-66SULL0Q
Merchant_4598 GYZ,Travel,SaaS,EUR,POS_85_E,COMPANY_E-701006,COMPANY_E,3127.95,TXN Merchant_4598 GYZ REF-9B1DD5GC
Merchant_2755 KVC,Consulting,Airline,USD,POS_65_E,COMPANY_E-325340,COMPANY_E,1149.68,TXN Merchant_2755 KVC REF-79KF4LCO
Merchant_1758 JEB,Consulting,Hotel,INR,BILL_37_E,COMPANY_E-209323,COMPANY_E,606.75,TXN Merchant_1758 JEB REF-DWP6YAFN
Merchant_2404 UFI,Tech,Electric,GBP,BILL_29_E,COMPANY_E-139466,COMPANY_E,4135.83,TXN Merchant_2404 UFI REF-8AZDCTHF
Merchant_2044 KWB,Travel,Cafe,INR,ADJUSTMENT_86_E,COMPANY_E-261508,COMPANY_E,621.84,TXN Merchant_2044 KWB REF-O3HR4BWO
Merchant_1028 XZU,Consulting,Electric,GBP,POS_85_E,COMPANY_E-139466,COMPANY_E,2094.13,TXN Merchant_1028 XZU REF-Q09XX2WZ
Merchant_283 OCU,Travel,Cafe,USD,ONLINE_61_E,COMPANY_E-138473,COMPANY_E,4928.21,TXN Merchant_283 OCU REF-WN14ZGP9
Merchant_3093 IEO,Travel,Uber,GBP,FEE_90_E,COMPANY_E-138473,COMPANY_E,3339.75,TXN Merchant_3093 IEO REF-N1FX52PX
Merchant_997 IAF,Consulting,Hotel,USD,TRANSFER_86_E,COMPANY_E-325340,COMPANY_E,2217.16,TXN Merchant_997 IAF REF-5JBEVMNU
Merchant_1472 DJB,Consulting,Hotel,EUR,ONLINE_8_E,COMPANY_E-163757,COMPANY_E,287.39,TXN Merchant_1472 DJB REF-RMIC7F1R
Merchant_2359 RCO,Utilities,Uber,INR,ADJUSTMENT_30_E,COMPANY_E-890787,COMPANY_E,767.11,TXN Merchant_2359 RCO REF-PUX0ZP1I
Merchant_1261 QVR,Retail,Cafe,USD,TRANSFER_86_E,COMPANY_E-493268,COMPANY_E,1696.9,TXN Merchant_1261 QVR REF-9N8VMRL7
Merchant_3147 SQK,Travel,Airline,USD,BILL_92_E,COMPANY_E-253677,COMPANY_E,4684.79,TXN Merchant_3147 SQK REF-RR8LM1MV
Merchant_3774 PLY,Tech,Uber,GBP,ONLINE_91_E,COMPANY_E-138473,COMPANY_E,3143.92,TXN Merchant_3774 PLY REF-6NEAH9Q2
Merchant_4658 IEY,Food,Cafe,INR,ONLINE_91_E,COMPANY_E-209323,COMPANY_E,3210.27,TXN Merchant_4658 IEY REF-KVMPKUFT
Merchant_3542 MQG,Travel,Store,EUR,FEE_11_E,COMPANY_E-138473,COMPANY_E,1248.3,TXN Merchant_3542 MQG REF-IC901570
Merchant_876 BRE,Utilities,Electric,EUR,ONLINE_61_E,COMPANY_E-138473,COMPANY_E,4745.99,TXN Merchant_876 BRE REF-UMN1N9ZK
Merchant_4575 HLX,Consulting,Store,USD,FEE_11_E,COMPANY_E-138473,COMPANY_E,3632.24,TXN Merchant_4575 HLX REF-DSV0WGYC
Merchant_27 HXM,Consulting,Airline,GBP,TRANSFER_86_E,COMPANY_E-325340,COMPANY_E,4740.35,TXN Merchant_27 HXM REF-9LOBUPBI
Merchant_2305 EID,Consulting,Hotel,INR,ADJUSTMENT_28_E,COMPANY_E-138473,COMPANY_E,476.65,TXN Merchant_2305 EID REF-B36NS90L
Merchant_2359 RCO,Utilities,Uber,INR,ADJUSTMENT_30_E,COMPANY_E-890787,COMPANY_E,2783.72,TXN Merchant_2359 RCO REF-ZCMSMEJ2
Merchant_1731 LXM,Logistics,Hotel,INR,ONLINE_8_E,COMPANY_E-253677,COMPANY_E,2035.44,TXN Merchant_1731 LXM REF-R7F6H1HW
Merchant_821 HGX,Travel,Hotel,EUR,TRANSFER_86_E,COMPANY_E-351203,COMPANY_E,3210.37,TXN Merchant_821 HGX REF-6ER3A2GU
Merchant_2672 RJZ,Consulting,Cafe,EUR,FEE_11_E,COMPANY_E-153856,COMPANY_E,1595.33,TXN Merchant_2672 RJZ REF-IWQS4F38
Merchant_2350 NTU,Consulting,Hotel,GBP,ADJUSTMENT_28_E,COMPANY_E-138473,COMPANY_E,3508.03,TXN Merchant_2350 NTU REF-H6TK27CW
Merchant_356 MMU,Logistics,Cafe,EUR,POS_65_E,COMPANY_E-325340,COMPANY_E,2857.86,TXN Merchant_356 MMU REF-1Y3Q515S
Merchant_2970 QSU,Logistics,Cafe,EUR,ONLINE_91_E,COMPANY_E-138473,COMPANY_E,3040.09,TXN Merchant_2970 QSU REF-DMO2YT8I
Merchant_4919 CQJ,Tech,Airline,INR,BILL_92_E,COMPANY_E-758793,COMPANY_E,877.18,TXN Merchant_4919 CQJ REF-K4UMLR5W
Merchant_4561 DEM,Retail,Hotel,GBP,FEE_46_E,COMPANY_E-701006,COMPANY_E,4105.06,TXN Merchant_4561 DEM REF-TI4UM727
Merchant_4073 CDZ,Travel,Hotel,INR,FEE_90_E,COMPANY_E-139466,COMPANY_E,3923.79,TXN Merchant_4073 CDZ REF-WS21V4CO
Merchant_4919 CQJ,Tech,Airline,INR,BILL_92_E,COMPANY_E-758793,COMPANY_E,1130.58,TXN Merchant_4919 CQJ REF-UYCQAN0D
Merchant_3254 AUD,Tech,Hotel,EUR,BILL_92_E,COMPANY_E-758793,COMPANY_E,4423.89,TXN Merchant_3254 AUD REF-L3M81XZ1
Merchant_1261 QVR,Retail,Cafe,USD,TRANSFER_86_E,COMPANY_E-493268,COMPANY_E,1790.7,TXN Merchant_1261 QVR REF-S09QJ9RP
Merchant_2572 RYK,Logistics,Cafe,USD,ONLINE_61_E,COMPANY_E-138473,COMPANY_E,2556.27,TXN Merchant_2572 RYK REF-0WVC9Q1R
Merchant_4859 UJY,Consulting,Airline,GBP,TRANSFER_86_E,COMPANY_E-493268,COMPANY_E,3792.98,TXN Merchant_4859 UJY REF-NOBDABEE
Merchant_2910 WWU,Retail,Electric,GBP,BILL_92_E,COMPANY_E-253677,COMPANY_E,2379.78,TXN Merchant_2910 WWU REF-R7T89MN5
