merchant_group,merchant_name,cc_type,cc_code,cc_type_id,cc_code_id,stratify_col
Real Estate,Perry Group hpm,Transfer_CNP,37153,9,16,Transfer_CNP_37153
Retail,Carey Group hnq,Wire_CHB,32496,11,1,Wire_CHB_32496
Construction,Reed-Flowers rvf,Wire_FFW,39013,12,21,Wire_FFW_39013
Real Estate,"Howard, Reid and Martinez wlq",Wire_CHB,35497,11,11,Wire_CHB_35497
Manufacturing,"Jackson, Evans and Travis sba",POS_DVH,39008,8,20,POS_DVH_39008
Telecom,"Moss, Smith and Austin evj",Auto_BZE,34965,3,10,Auto_BZE_34965
Energy,King-Combs bct,Auto_BZE,34965,3,10,Auto_BZE_34965
Media,Romero PLC qlq,Auto_RSY,32772,5,2,Auto_RSY_32772
Energy,Gross PLC ddo,Wire_CHB,38735,11,19,Wire_CHB_38735
Construction,Escobar Ltd kht,POS_DVH,39008,8,20,POS_DVH_39008
Finance,Adams-Johnson jmm,Wire_FFW,39013,12,21,Wire_FFW_39013
Real Estate,Jones-Bradley kyp,Wire_CHB,38735,11,19,Wire_CHB_38735
Media,Griffith LLC iyf,ACH_HNZ,37644,0,17,ACH_HNZ_37644
Finance,"Cruz, Stanley and Perez atx",Auto_LVC,40913,4,25,Auto_LVC_40913
Real Estate,Klein-Mitchell lnb,Auto_RSY,32772,5,2,Auto_RSY_32772
Construction,Singleton LLC ibc,Transfer_UGR,39331,10,23,Transfer_UGR_39331
Retail,Mayo LLC iel,ACH_HNZ,37644,0,17,ACH_HNZ_37644
Finance,Anderson-Gibson gux,Fee_LDP,35634,7,12,Fee_LDP_35634
Education,"Brooks, Jones and Garrett lar",Fee_CHW,35497,6,11,Fee_CHW_35497
Telecom,Potter and Sons pnl,Auto_RSY,39331,5,23,Auto_RSY_39331
Real Estate,Nguyen-Williams www,Auto_LVC,40913,4,25,Auto_LVC_40913
Telecom,Perez-Freeman muv,Fee_CHW,35497,6,11,Fee_CHW_35497
Energy,"Alexander, Hughes and Burgess lhl",Fee_CHW,35497,6,11,Fee_CHW_35497
Telecom,Jackson-Collins nnn,Wire_NMT,37153,13,16,Wire_NMT_37153
Retail,Garza Inc nbn,Auto_LVC,38735,4,19,Auto_LVC_38735
Education,"Brooks, Jones and Garrett lar",Fee_CHW,35497,6,11,Fee_CHW_35497
Legal,Burns-Hernandez yha,POS_DVH,39008,8,20,POS_DVH_39008
Manufacturing,Howard-Leonard liv,Wire_CHB,38735,11,19,Wire_CHB_38735
Legal,"Holland, Bennett and Perez cxk",Wire_FFW,35743,12,13,Wire_FFW_35743
Retail,Johnson Group nsk,Auto_RSY,39331,5,23,Auto_RSY_39331
Finance,Nielsen-Hale vpt,Auto_BZE,39641,3,24,Auto_BZE_39641
Retail,Welch Group zos,ACH_SMW,33319,1,7,ACH_SMW_33319
Energy,Shepherd-Jackson jjh,Auto_BZE,39641,3,24,Auto_BZE_39641
Construction,Rangel-Mullins vgw,ACH_HNZ,32870,0,3,ACH_HNZ_32870
Telecom,Franklin Inc rks,Transfer_UGR,39331,10,23,Transfer_UGR_39331
Retail,Ross-Navarro ueo,Auto_RSY,32927,5,4,Auto_RSY_32927
Energy,"Alexander, Hughes and Burgess lhl",Fee_CHW,35497,6,11,Fee_CHW_35497
Finance,"Knight, Lamb and Liu sec",ACH_HNZ,37644,0,17,ACH_HNZ_37644
Finance,Miller Ltd ylb,Auto_RSY,37873,5,18,Auto_RSY_37873
Education,"Carter, Davidson and Lowe cki",Transfer_CNP,37153,9,16,Transfer_CNP_37153
Manufacturing,Harrington Group jqk,Auto_RSY,33145,5,5,Auto_RSY_33145
Retail,Carey Group hnq,Wire_CHB,32496,11,1,Wire_CHB_32496
Energy,"Ayers, Kelley and Spencer fuy",POS_DVH,39008,8,20,POS_DVH_39008
Construction,"Kelly, Ingram and Armstrong xhs",Wire_NMT,37153,13,16,Wire_NMT_37153
Legal,Morgan-Matthews upq,ACH_SMW,33319,1,7,ACH_SMW_33319
Retail,Welch Group zos,ACH_SMW,33319,1,7,ACH_SMW_33319
Real Estate,"Lucas, Knight and Smith czb",ACH_SMW,33319,1,7,ACH_SMW_33319
Construction,Peterson-Collins gaq,POS_DVH,39008,8,20,POS_DVH_39008
Real Estate,"Lloyd, Mann and Rodriguez rfc",Wire_FFW,35743,12,13,Wire_FFW_35743
Retail,Carey Group hnq,Wire_CHB,32496,11,1,Wire_CHB_32496
Media,Martin Group acd,POS_DVH,36575,8,14,POS_DVH_36575
Energy,Moore PLC jee,Auto_BZE,39641,3,24,Auto_BZE_39641
Retail,Cuevas and Sons hxj,Transfer_CNP,37153,9,16,Transfer_CNP_37153
Legal,"Hernandez, Everett and Sims ekz",Transfer_CNP,37153,9,16,Transfer_CNP_37153
Education,"Brown, Morgan and Jacobs rou",ACH_SMW,33319,1,7,ACH_SMW_33319
Media,"Gonzalez, Ortiz and Bray pfa",POS_DVH,34062,8,9,POS_DVH_34062
Real Estate,"Castro, Murphy and Levy zhh",Fee_CHW,39116,6,22,Fee_CHW_39116
Telecom,"Gutierrez, King and Mcguire zrx",ACH_UTR,32404,2,0,ACH_UTR_32404
Telecom,"Moss, Smith and Austin evj",Auto_BZE,34965,3,10,Auto_BZE_34965
Education,"Bridges, Clark and Holloway qen",Auto_RSY,33731,5,8,Auto_RSY_33731
Telecom,Jackson-Collins nnn,Wire_NMT,37153,13,16,Wire_NMT_37153
Media,"Walker, Franklin and Sanders jzw",ACH_SMW,33256,1,6,ACH_SMW_33256
Media,"Stevenson, Nichols and King eyi",ACH_HNZ,37644,0,17,ACH_HNZ_37644
Education,Tyler-Johnson sja,ACH_SMW,33319,1,7,ACH_SMW_33319
Legal,"Oneal, Dorsey and Preston zil",POS_DVH,39008,8,20,POS_DVH_39008
Real Estate,Butler PLC xzu,ACH_SMW,33319,1,7,ACH_SMW_33319
Finance,"Howard, Thomas and Johnson wbu",Wire_FFW,39013,12,21,Wire_FFW_39013
Finance,Manning-Hunt eri,POS_DVH,34062,8,9,POS_DVH_34062
Energy,Conley Inc dti,Auto_LVC,38735,4,19,Auto_LVC_38735
Manufacturing,Gilmore-Brown hsc,POS_DVH,36575,8,14,POS_DVH_36575
Energy,Wells Inc yac,Wire_FFW,37094,12,15,Wire_FFW_37094
Retail,Ramos-Lewis rnq,Transfer_UGR,39331,10,23,Transfer_UGR_39331
Retail,Jones LLC ykx,ACH_HNZ,32870,0,3,ACH_HNZ_32870
Finance,Fisher and Sons kem,POS_DVH,34062,8,9,POS_DVH_34062
Media,Ford Ltd oob,Transfer_UGR,39331,10,23,Transfer_UGR_39331
Energy,Beasley-Little fzs,Fee_CHW,35497,6,11,Fee_CHW_35497
Legal,Garcia LLC nma,Wire_FFW,37094,12,15,Wire_FFW_37094
Education,Ellis-Johnson fni,Wire_CHB,32496,11,1,Wire_CHB_32496
Manufacturing,"Pearson, Wolf and Boyd tuy",ACH_SMW,33319,1,7,ACH_SMW_33319
Legal,"Saunders, Parks and Rhodes hjw",Auto_BZE,34965,3,10,Auto_BZE_34965
Construction,"Martin, Wong and Mccarthy bmf",Auto_RSY,39331,5,23,Auto_RSY_39331
Telecom,Hayes PLC ngi,ACH_HNZ,32870,0,3,ACH_HNZ_32870
Media,"Prince, Russell and Frey loa",Wire_CHB,38735,11,19,Wire_CHB_38735
Energy,Johnston-Ross uhb,ACH_UTR,32404,2,0,ACH_UTR_32404
