merchant_group,merchant_name,cc_type,cc_code,cc_type_id,cc_code_id,stratify_col
Construction,"Collins, Kelly and Ponce aut",Wire_ZYW,27619,11,18,Wire_ZYW_27619
Manufacturing,"Brown, Martin and Lowery vkb",POS_JAR,25936,5,14,POS_JAR_25936
Healthcare,"Roberts, Phelps and Fisher wtr",Fee_FPI,23814,4,7,Fee_FPI_23814
Education,Burns-Rodriguez sfg,POS_SNH,27628,6,19,POS_SNH_27628
Education,Anderson-Phillips uil,Auto_NXC,24334,1,9,Auto_NXC_24334
Telecom,Taylor and Sons kmv,POS_SNH,27628,6,19,POS_SNH_27628
Construction,"Serrano, Reynolds and Schneider avl",Fee_FPI,26002,4,15,Fee_FPI_26002
Consulting,Turner-Griffith pad,POS_SNH,27628,6,19,POS_SNH_27628
Telecom,Gordon LLC bnt,POS_TYB,25337,7,13,POS_TYB_25337
Finance,Lawrence-Jackson qwg,POS_TYB,27805,7,20,POS_TYB_27805
Education,"Nelson, Cardenas and Stewart kux",Auto_YDJ,22489,3,4,Auto_YDJ_22489
Finance,"Miller, West and Martinez tie",Auto_NXC,23883,1,8,Auto_NXC_23883
Travel,Mccoy-Dudley xwh,Fee_FPI,23814,4,7,Fee_FPI_23814
Consulting,"Kelley, Pham and Benson fza",Auto_NXC,24334,1,9,Auto_NXC_24334
Software,Green-Morales gqo,Fee_FPI,26002,4,15,Fee_FPI_26002
Healthcare,"Obrien, Willis and Gross odf",POS_SNH,27628,6,19,POS_SNH_27628
Software,Rodriguez LLC aet,Fee_FPI,26002,4,15,Fee_FPI_26002
Travel,Gonzalez-Strickland vtl,POS_TYB,25337,7,13,POS_TYB_25337
Healthcare,Morton-Duncan jkb,POS_TYB,27805,7,20,POS_TYB_27805
Travel,Bailey Group inb,POS_TYB,27805,7,20,POS_TYB_27805
Construction,Sherman Group hus,POS_TYB,22489,7,4,POS_TYB_22489
Manufacturing,Garrett-Lee pte,Wire_GZU,23588,10,5,Wire_GZU_23588
Education,Perez and Sons tbc,Wire_GZU,23588,10,5,Wire_GZU_23588
Healthcare,Wallace-Browning mga,POS_TYB,29810,7,24,POS_TYB_29810
Education,"Johnson, Hancock and Jones kzk",POS_TYB,29810,7,24,POS_TYB_29810
Construction,Dixon-Fernandez ysk,Transfer_EQV,28867,8,21,Transfer_EQV_28867
Construction,"Reid, Scott and Powers vqr",Wire_GZU,28996,10,22,Wire_GZU_28996
Travel,Powell-Smith grw,POS_TYB,29810,7,24,POS_TYB_29810
Travel,Buck-Porter agx,POS_JAR,25936,5,14,POS_JAR_25936
Manufacturing,"Murphy, Taylor and Baker mqi",ACH_CPG,22342,0,3,ACH_CPG_22342
Travel,Bailey Group inb,POS_TYB,27805,7,20,POS_TYB_27805
Software,Dickerson and Sons cpz,Wire_GZU,23588,10,5,Wire_GZU_23588
Healthcare,"Roberts, Phelps and Fisher wtr",Fee_FPI,23814,4,7,Fee_FPI_23814
Healthcare,Wright-Martin yry,POS_SNH,24334,6,9,POS_SNH_24334
Healthcare,Wilson LLC ztd,Auto_NXC,24334,1,9,Auto_NXC_24334
Construction,"Jones, Walters and Reyes nxl",POS_SNH,27628,6,19,POS_SNH_27628
Construction,Neal Inc lsw,Transfer_EQV,23883,8,8,Transfer_EQV_23883
Manufacturing,Lamb PLC mlx,POS_JAR,27257,5,17,POS_JAR_27257
Consulting,"Russell, Santos and Gibson chi",POS_SNH,20041,6,0,POS_SNH_20041
Finance,Mcguire-Acevedo ivr,Wire_GZU,23588,10,5,Wire_GZU_23588
Construction,"Hodges, Jarvis and Nelson qjt",Fee_FPI,26002,4,15,Fee_FPI_26002
Consulting,Chung-Lin ekf,Transfer_EQV,28867,8,21,Transfer_EQV_28867
Software,"Turner, Martin and Cordova cuq",POS_TYB,27805,7,20,POS_TYB_27805
Education,Franco Group tbw,Auto_NXC,24334,1,9,Auto_NXC_24334
Software,Rush-Swanson jpg,ACH_CPG,23588,0,5,ACH_CPG_23588
Dining,Evans PLC ccn,Fee_FPI,26002,4,15,Fee_FPI_26002
Telecom,Norman-Petersen ply,POS_JAR,25936,5,14,POS_JAR_25936
Software,Williams-Roach dhc,Auto_NXC,24965,1,11,Auto_NXC_24965
Construction,Wiley-Sanchez lni,Auto_NXC,24334,1,9,Auto_NXC_24334
Construction,Benton Ltd beq,POS_SNH,27628,6,19,POS_SNH_27628
Travel,Rose-Wilson tpz,Auto_YDJ,26462,3,16,Auto_YDJ_26462
Software,Jones-Sharp foi,Auto_NXC,24965,1,11,Auto_NXC_24965
Finance,"Rios, Key and Green ydm",Fee_FPI,24453,4,10,Fee_FPI_24453
Healthcare,Chang and Sons hol,ACH_CPG,23588,0,5,ACH_CPG_23588
Finance,Davis-Barnes byw,Wire_ZYW,27619,11,18,Wire_ZYW_27619
Finance,"Jones, Maldonado and Keith ggu",POS_SNH,27628,6,19,POS_SNH_27628
Construction,"Black, Bolton and Spencer ihd",POS_TYB,25337,7,13,POS_TYB_25337
Manufacturing,Palmer PLC tcw,Transfer_GOO,21070,9,2,Transfer_GOO_21070
Dining,"Washington, Davenport and Watkins gfk",Wire_GZU,28996,10,22,Wire_GZU_28996
Software,George-Wright cwt,POS_TYB,25337,7,13,POS_TYB_25337
Manufacturing,Oliver-Watts ump,POS_TYB,29810,7,24,POS_TYB_29810
Education,Lawrence-Johnson ysn,POS_TYB,22489,7,4,POS_TYB_22489
Manufacturing,Lamb PLC mlx,POS_JAR,27257,5,17,POS_JAR_27257
Construction,"Lee, Rodriguez and Erickson brc",POS_SNH,27628,6,19,POS_SNH_27628
Education,"Strong, Reyes and Mitchell lqm",ACH_CPG,22342,0,3,ACH_CPG_22342
Telecom,Marshall Ltd mii,Auto_YDJ,26462,3,16,Auto_YDJ_26462
Construction,"Lee, Rodriguez and Erickson brc",POS_SNH,27628,6,19,POS_SNH_27628
Consulting,Moran-Obrien tzy,Fee_FPI,23814,4,7,Fee_FPI_23814
Finance,Ingram-Chen str,POS_SNH,27628,6,19,POS_SNH_27628
Telecom,"Obrien, Daniel and Cole yck",Transfer_EQV,23883,8,8,Transfer_EQV_23883
Construction,Harris-Carter way,Transfer_EQV,28867,8,21,Transfer_EQV_28867
Travel,Rose-Wilson tpz,Auto_YDJ,26462,3,16,Auto_YDJ_26462
Healthcare,"Castro, Silva and Cunningham rtm",Wire_ZYW,27619,11,18,Wire_ZYW_27619
Consulting,Price Ltd hgp,Wire_GZU,23588,10,5,Wire_GZU_23588
Construction,Graham-Morrow ckm,Fee_FPI,26002,4,15,Fee_FPI_26002
Manufacturing,Cook-Brown cpz,POS_JAR,27805,5,20,POS_JAR_27805
Dining,Knapp Group xtj,Fee_FPI,26002,4,15,Fee_FPI_26002
Consulting,"Tapia, Gutierrez and Brewer ckp",Auto_YDJ,26462,3,16,Auto_YDJ_26462
Healthcare,"Villanueva, James and Bernard jrt",POS_TYB,22489,7,4,POS_TYB_22489
Education,Kelley-Smith xkm,POS_TYB,27805,7,20,POS_TYB_27805
Finance,Lawrence-Jackson qwg,POS_TYB,27805,7,20,POS_TYB_27805
Telecom,Parker-Woods wam,Transfer_GOO,25110,9,12,Transfer_GOO_25110
Telecom,"Franklin, Hudson and Diaz qrc",Auto_NXC,24965,1,11,Auto_NXC_24965
Healthcare,Davis PLC tdp,Auto_NXC,23883,1,8,Auto_NXC_23883
Consulting,Adams Group prx,POS_SNH,29182,6,23,POS_SNH_29182
Education,Castro Group uom,POS_TYB,29810,7,24,POS_TYB_29810
Construction,Davis and Sons qcq,Transfer_EQV,23883,8,8,Transfer_EQV_23883
Construction,"Martin, Obrien and Vargas lsn",POS_TYB,25337,7,13,POS_TYB_25337
Software,Jackson LLC zzc,Auto_YDJ,22489,3,4,Auto_YDJ_22489
Education,Lowe Ltd saj,Auto_UNU,20636,2,1,Auto_UNU_20636
Software,Jones-Sharp foi,Auto_NXC,24965,1,11,Auto_NXC_24965
Finance,Freeman Ltd qxq,Auto_YDJ,22489,3,4,Auto_YDJ_22489
Manufacturing,"Murphy, Taylor and Baker mqi",ACH_CPG,22342,0,3,ACH_CPG_22342
Healthcare,"Castro, Silva and Cunningham rtm",Wire_ZYW,27619,11,18,Wire_ZYW_27619
Consulting,Price Ltd hgp,Wire_GZU,23588,10,5,Wire_GZU_23588
Healthcare,Wright-Martin yry,POS_SNH,24334,6,9,POS_SNH_24334
Consulting,Hardy-Bailey iim,POS_SNH,23701,6,6,POS_SNH_23701
Dining,"Everett, Kennedy and Wilkerson ctz",Auto_NXC,24965,1,11,Auto_NXC_24965
Education,Richmond Ltd imj,POS_JAR,27805,5,20,POS_JAR_27805
Manufacturing,Johnson-Choi viw,POS_TYB,22489,7,4,POS_TYB_22489
Finance,Norton PLC whn,ACH_CPG,22342,0,3,ACH_CPG_22342
Software,Rodriguez LLC aet,Fee_FPI,26002,4,15,Fee_FPI_26002
Construction,Strong PLC gkk,ACH_CPG,22342,0,3,ACH_CPG_22342
Travel,Rose-Wilson tpz,Auto_YDJ,26462,3,16,Auto_YDJ_26462
Healthcare,"Villanueva, James and Bernard jrt",POS_TYB,22489,7,4,POS_TYB_22489
Healthcare,Williams Group tgz,Transfer_EQV,28867,8,21,Transfer_EQV_28867
Education,"Wilson, Beard and Rhodes poh",Fee_FPI,26002,4,15,Fee_FPI_26002
Finance,Barnes and Sons xcc,Transfer_EQV,28867,8,21,Transfer_EQV_28867
Dining,Erickson Group uxm,Auto_NXC,24965,1,11,Auto_NXC_24965
Travel,Rose-Wilson tpz,Auto_YDJ,26462,3,16,Auto_YDJ_26462
Finance,"Bolton, Gilbert and Gomez zdu",Auto_NXC,24965,1,11,Auto_NXC_24965
Consulting,Summers-Cox uxj,POS_JAR,25936,5,14,POS_JAR_25936
Education,"Patel, Crane and Thompson ljf",ACH_CPG,23588,0,5,ACH_CPG_23588
Consulting,Adams Group prx,POS_SNH,29182,6,23,POS_SNH_29182
