merchant_group,merchant_name,cc_type,cc_code,cc_type_id,cc_code_id,stratify_col
Education,Hall-Smith apw,ACH_XEY,75996,0,26,ACH_XEY_75996
Energy,Jackson Inc rqo,POS_OEC,74005,8,17,POS_OEC_74005
Real Estate,Thompson-Bryan kig,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Finance,Ryan-Murray ygi,POS_OEC,74402,8,20,POS_OEC_74402
Finance,"Davis, Watson and Carr hzk",POS_ZTL,67569,9,2,POS_ZTL_67569
Finance,Patrick-Stewart mor,POS_OEC,74005,8,17,POS_OEC_74005
Telecom,Miller-Kaufman pfh,Fee_QKA,75427,4,24,Fee_QKA_75427
Education,Smith Group iwo,Fee_QKA,73407,4,16,Fee_QKA_73407
Construction,Quinn LLC vyc,Fee_QKA,75427,4,24,Fee_QKA_75427
Real Estate,Ortiz-Berry xkg,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Education,Howell Group nss,POS_ZUC,69787,10,6,POS_ZUC_69787
Telecom,Weaver Group wit,Fee_QKA,73407,4,16,Fee_QKA_73407
Logistics,Alvarado-Cox mtk,POS_FPA,72783,7,12,POS_FPA_72783
Energy,Hensley-Bond fuu,Fee_ZUT,66454,6,0,Fee_ZUT_66454
Telecom,Morales-George gyh,POS_ZTL,73407,9,16,POS_ZTL_73407
Energy,Chandler LLC guv,POS_FPA,72783,7,12,POS_FPA_72783
Logistics,"Ward, Galvan and Smith jlv",POS_FPA,72783,7,12,POS_FPA_72783
Energy,Thompson and Sons hdq,Wire_HJN,71778,12,11,Wire_HJN_71778
Real Estate,Arroyo Inc wxp,Fee_RDT,72921,5,13,Fee_RDT_72921
Logistics,Maynard-Frey ljv,POS_OEC,74402,8,20,POS_OEC_74402
Education,"Gordon, Anderson and Hodge nha",Card_JGO,74135,2,18,Card_JGO_74135
Real Estate,Cortez-Lopez nvz,Fee_QKA,75191,4,23,Fee_QKA_75191
Dining,Anderson and Sons gdw,POS_ZTL,73407,9,16,POS_ZTL_73407
Energy,Jefferson Ltd vin,POS_OEC,74402,8,20,POS_OEC_74402
Healthcare,Williams Inc uci,Fee_QKA,73407,4,16,Fee_QKA_73407
Healthcare,"Matthews, Watkins and Greene iel",POS_OEC,74402,8,20,POS_OEC_74402
Healthcare,Barrett-Davis wvk,Card_JGO,74135,2,18,Card_JGO_74135
Construction,Cooper-Avila ssk,POS_ZUC,69784,10,5,POS_ZUC_69784
Education,"Washington, Carter and Park sna",POS_ZUC,72783,10,12,POS_ZUC_72783
Dining,"Fernandez, Pugh and Escobar xcf",ACH_XEY,75996,0,26,ACH_XEY_75996
Telecom,Bryant-Hall ltx,Card_JGO,74581,2,21,Card_JGO_74581
Finance,"Padilla, Wilson and Mitchell oib",Fee_ZUT,70311,6,9,Fee_ZUT_70311
Education,"Burns, Russell and Wang xsr",Fee_RDT,72921,5,13,Fee_RDT_72921
Real Estate,Montgomery-Hughes arw,POS_OEC,74402,8,20,POS_OEC_74402
Telecom,"Phillips, Henry and Cruz wxk",POS_ZUC,74775,10,22,POS_ZUC_74775
Finance,"Vargas, Franklin and Rogers yvd",Fee_ZUT,66454,6,0,Fee_ZUT_66454
Healthcare,"Smith, Warren and Smith brz",ACH_YUU,68064,1,4,ACH_YUU_68064
Healthcare,Camacho-Cook iee,Card_JGO,74135,2,18,Card_JGO_74135
Real Estate,"White, Harding and Simmons jak",POS_ZTL,74271,9,19,POS_ZTL_74271
Healthcare,Miller-Green dfh,Fee_ZUT,75987,6,25,Fee_ZUT_75987
Healthcare,"Williams, Lopez and Thomas ifm",POS_OEC,74402,8,20,POS_OEC_74402
Real Estate,Hall-Johnston rsy,POS_ZUC,69787,10,6,POS_ZUC_69787
Dining,Long-Brown mvg,Fee_ZUT,70311,6,9,Fee_ZUT_70311
Logistics,"Best, Wilson and Garcia wqm",Card_JGO,74135,2,18,Card_JGO_74135
Telecom,"Colon, Williams and Miller zdk",POS_ZUC,69787,10,6,POS_ZUC_69787
Construction,Kim-Greer ofr,POS_FPA,70003,7,7,POS_FPA_70003
Healthcare,Perez-Scott xka,POS_FPA,70003,7,7,POS_FPA_70003
Energy,"Gibson, Nelson and Washington cvk",Fee_QKA,75191,4,23,Fee_QKA_75191
Construction,Sanchez-Atkins plq,Card_JGO,74135,2,18,Card_JGO_74135
Telecom,Williamson Inc ggs,Card_JGO,74135,2,18,Card_JGO_74135
Healthcare,Campbell-Long wxc,Wire_HJN,71778,12,11,Wire_HJN_71778
Healthcare,"Powell, Durham and Johnston jwk",Fee_RDT,72921,5,13,Fee_RDT_72921
Education,"Burns, Russell and Wang xsr",Fee_RDT,72921,5,13,Fee_RDT_72921
Telecom,"Rose, Estrada and Vincent hnk",Fee_QAN,71290,3,10,Fee_QAN_71290
Healthcare,Fernandez LLC ija,POS_ZUC,74775,10,22,POS_ZUC_74775
Real Estate,"Joyce, Richardson and Hodge kjx",Card_JGO,74581,2,21,Card_JGO_74581
Education,Moon-Miles spa,POS_ZTL,67569,9,2,POS_ZTL_67569
Telecom,Randall-Lee rsi,POS_ZTL,74271,9,19,POS_ZTL_74271
Healthcare,Campbell-Long wxc,Wire_HJN,71778,12,11,Wire_HJN_71778
